Date,Country,Confirmed,Recovered,Deceased,Total_Confirmed,Total_Recovered,Total_Deceased
2020-01-23,Armenia,0,0,0,0,0,0
2020-01-24,Armenia,0,0,0,0,0,0
2020-01-25,Armenia,0,0,0,0,0,0
2020-01-26,Armenia,0,0,0,0,0,0
2020-01-27,Armenia,0,0,0,0,0,0
2020-01-28,Armenia,0,0,0,0,0,0
2020-01-29,Armenia,0,0,0,0,0,0
2020-01-30,Armenia,0,0,0,0,0,0
2020-01-31,Armenia,0,0,0,0,0,0
2020-02-01,Armenia,0,0,0,0,0,0
2020-02-02,Armenia,0,0,0,0,0,0
2020-02-03,Armenia,0,0,0,0,0,0
2020-02-04,Armenia,0,0,0,0,0,0
2020-02-05,Armenia,0,0,0,0,0,0
2020-02-06,Armenia,0,0,0,0,0,0
2020-02-07,Armenia,0,0,0,0,0,0
2020-02-08,Armenia,0,0,0,0,0,0
2020-02-09,Armenia,0,0,0,0,0,0
2020-02-10,Armenia,0,0,0,0,0,0
2020-02-11,Armenia,0,0,0,0,0,0
2020-02-12,Armenia,0,0,0,0,0,0
2020-02-13,Armenia,0,0,0,0,0,0
2020-02-14,Armenia,0,0,0,0,0,0
2020-02-15,Armenia,0,0,0,0,0,0
2020-02-16,Armenia,0,0,0,0,0,0
2020-02-17,Armenia,0,0,0,0,0,0
2020-02-18,Armenia,0,0,0,0,0,0
2020-02-19,Armenia,0,0,0,0,0,0
2020-02-20,Armenia,0,0,0,0,0,0
2020-02-21,Armenia,0,0,0,0,0,0
2020-02-22,Armenia,0,0,0,0,0,0
2020-02-23,Armenia,0,0,0,0,0,0
2020-02-24,Armenia,0,0,0,0,0,0
2020-02-25,Armenia,0,0,0,0,0,0
2020-02-26,Armenia,0,0,0,0,0,0
2020-02-27,Armenia,0,0,0,0,0,0
2020-02-28,Armenia,0,0,0,0,0,0
2020-02-29,Armenia,0,0,0,0,0,0
2020-03-01,Armenia,1,0,0,1,0,0
2020-03-02,Armenia,0,0,0,1,0,0
2020-03-03,Armenia,0,0,0,1,0,0
2020-03-04,Armenia,0,0,0,1,0,0
2020-03-05,Armenia,0,0,0,1,0,0
2020-03-06,Armenia,0,0,0,1,0,0
2020-03-07,Armenia,0,0,0,1,0,0
2020-03-08,Armenia,0,0,0,1,0,0
2020-03-09,Armenia,0,0,0,1,0,0
2020-03-10,Armenia,0,0,0,1,0,0
2020-03-11,Armenia,0,0,0,1,0,0
2020-03-12,Armenia,3,0,0,4,0,0
2020-03-13,Armenia,4,0,0,8,0,0
2020-03-14,Armenia,10,0,0,18,0,0
2020-03-15,Armenia,8,0,0,26,0,0
2020-03-16,Armenia,26,0,0,52,0,0
2020-03-17,Armenia,26,1,0,78,1,0
2020-03-18,Armenia,6,0,0,84,1,0
2020-03-19,Armenia,31,0,0,115,1,0
2020-03-20,Armenia,21,0,0,136,1,0
2020-03-21,Armenia,24,0,0,160,1,0
2020-03-22,Armenia,34,1,0,194,2,0
2020-03-23,Armenia,41,0,0,235,2,0
2020-03-24,Armenia,14,12,0,249,14,0
2020-03-25,Armenia,16,2,0,265,16,0
2020-03-26,Armenia,25,2,1,290,18,1
2020-03-27,Armenia,39,10,0,329,28,1
2020-03-28,Armenia,78,2,0,407,30,1
2020-03-29,Armenia,17,0,2,424,30,3
2020-03-30,Armenia,58,0,0,482,30,3
2020-03-31,Armenia,50,0,0,532,30,3
2020-04-01,Armenia,39,1,1,571,31,4
2020-04-02,Armenia,92,2,3,663,33,7
2020-04-03,Armenia,73,10,0,736,43,7
2020-04-04,Armenia,34,0,0,770,43,7
2020-04-05,Armenia,52,14,0,822,57,7
2020-04-06,Armenia,11,5,1,833,62,8
2020-04-07,Armenia,20,25,0,853,87,8
2020-04-08,Armenia,28,27,1,881,114,9
2020-04-09,Armenia,40,24,1,921,138,10
2020-04-10,Armenia,16,11,2,937,149,12
2020-04-11,Armenia,30,24,1,967,173,13
2020-04-12,Armenia,46,24,0,1013,197,13
2020-04-13,Armenia,26,14,1,1039,211,14
2020-04-14,Armenia,28,54,2,1067,265,16
2020-04-15,Armenia,44,32,1,1111,297,17
2020-04-16,Armenia,48,61,1,1159,358,18
2020-04-17,Armenia,42,44,1,1201,402,19
2020-04-18,Armenia,47,121,1,1248,523,20
2020-04-19,Armenia,43,22,0,1291,545,20
2020-04-20,Armenia,48,35,2,1339,580,22
2020-04-21,Armenia,62,29,2,1401,609,24
2020-04-22,Armenia,72,24,0,1473,633,24
2020-04-23,Armenia,50,26,0,1523,659,24
2020-04-24,Armenia,73,69,3,1596,728,27
2020-04-25,Armenia,81,75,1,1677,803,28
2020-04-26,Armenia,69,30,0,1746,833,28
2020-04-27,Armenia,62,15,1,1808,848,29
2020-04-28,Armenia,59,18,1,1867,866,30
2020-04-29,Armenia,65,34,0,1932,900,30
2020-04-30,Armenia,134,29,2,2066,929,32
2020-05-01,Armenia,82,48,1,2148,977,33
2020-05-02,Armenia,125,33,0,2273,1010,33
2020-05-03,Armenia,113,25,2,2386,1035,35
2020-05-04,Armenia,121,36,4,2507,1071,39
2020-05-05,Armenia,112,40,1,2619,1111,40
2020-05-06,Armenia,163,24,0,2782,1135,40
2020-05-07,Armenia,102,50,2,2884,1185,42
2020-05-08,Armenia,145,33,1,3029,1218,43
2020-05-09,Armenia,146,49,1,3175,1267,44
2020-05-10,Armenia,138,58,1,3313,1325,45
2020-05-11,Armenia,79,34,1,3392,1359,46
2020-05-12,Armenia,146,71,1,3538,1430,47
2020-05-13,Armenia,180,70,1,3718,1500,48
2020-05-14,Armenia,142,72,1,3860,1572,49
2020-05-15,Armenia,184,94,3,4044,1666,52
2020-05-16,Armenia,239,125,3,4283,1791,55
2020-05-17,Armenia,189,134,5,4472,1925,60
2020-05-18,Armenia,351,94,1,4823,2019,61
2020-05-19,Armenia,218,145,3,5041,2164,64
2020-05-20,Armenia,230,255,3,5271,2419,67
2020-05-21,Armenia,335,162,3,5606,2581,70
2020-05-22,Armenia,322,293,4,5928,2874,74
2020-05-23,Armenia,374,62,3,6302,2936,77
2020-05-24,Armenia,359,128,4,6661,3064,81
2020-05-25,Armenia,452,81,6,7113,3145,87
2020-05-26,Armenia,289,75,4,7402,3220,91
2020-05-27,Armenia,372,35,7,7774,3255,98
2020-05-28,Armenia,442,32,15,8216,3287,113
2020-05-29,Armenia,460,10,7,8676,3297,120
2020-05-30,Armenia,251,20,7,8927,3317,127
2020-05-31,Armenia,355,69,4,9282,3386,131
2020-06-01,Armenia,210,16,8,9492,3402,139
2020-06-02,Armenia,517,25,19,10009,3427,158
2020-06-03,Armenia,515,27,12,10524,3454,170
2020-06-04,Armenia,697,14,6,11221,3468,176
2020-06-05,Armenia,596,45,7,11817,3513,183
2020-06-06,Armenia,547,207,7,12364,3720,190
2020-06-07,Armenia,766,294,10,13130,4014,200
2020-06-08,Armenia,195,85,11,13325,4099,211
2020-06-09,Armenia,350,352,6,13675,4451,217
2020-06-10,Armenia,428,775,10,14103,5226,227
2020-06-11,Armenia,566,240,18,14669,5466,245
2020-06-12,Armenia,612,173,13,15281,5639,258
2020-06-13,Armenia,723,442,6,16004,6081,264
2020-06-14,Armenia,663,133,5,16667,6214,269
2020-06-15,Armenia,397,62,16,17064,6276,285
2020-06-16,Armenia,425,295,8,17489,6571,293
2020-06-17,Armenia,544,243,9,18033,6814,302
2020-06-18,Armenia,665,746,7,18698,7560,309
2020-06-19,Armenia,459,706,10,19157,8266,319
2020-06-20,Armenia,551,588,13,19708,8854,332
2020-06-21,Armenia,560,148,18,20268,9002,350
2020-06-22,Armenia,320,129,10,20588,9131,360
2020-06-23,Armenia,418,1013,12,21006,10144,372
2020-06-24,Armenia,711,653,14,21717,10797,386
2020-06-25,Armenia,771,538,11,22488,11335,397
2020-06-26,Armenia,759,814,13,23247,12149,410
2020-06-27,Armenia,662,762,11,23909,12911,421
2020-06-28,Armenia,736,205,5,24645,13116,426
2020-06-29,Armenia,482,181,7,25127,13297,433
2020-06-30,Armenia,415,751,10,25542,14048,443
2020-07-01,Armenia,523,515,10,26065,14563,453
2020-07-02,Armenia,593,473,6,26658,15036,459
2020-07-03,Armenia,662,448,10,27320,15484,469
2020-07-04,Armenia,580,451,8,27900,15935,477
2020-07-05,Armenia,706,205,7,28606,16140,484
2020-07-06,Armenia,330,162,7,28936,16302,491
2020-07-07,Armenia,349,605,12,29285,16907,503
2020-07-08,Armenia,535,520,18,29820,17427,521
2020-07-09,Armenia,526,573,14,30346,18000,535
2020-07-10,Armenia,557,709,11,30903,18709,546
2020-07-11,Armenia,489,710,13,31392,19419,559
2020-07-12,Armenia,577,214,6,31969,19633,565
2020-07-13,Armenia,182,232,8,32151,19865,573
2020-07-14,Armenia,339,864,8,32490,20729,581
2020-07-15,Armenia,515,619,11,33005,21348,592
2020-07-16,Armenia,554,583,15,33559,21931,607
2020-07-17,Armenia,442,561,13,34001,22492,620
2020-07-18,Armenia,461,631,11,34462,23123,631
2020-07-19,Armenia,415,171,10,34877,23294,641
2020-07-20,Armenia,104,208,9,34981,23502,650
2020-07-21,Armenia,273,704,12,35254,24206,662
2020-07-22,Armenia,439,560,16,35693,24766,678
2020-07-23,Armenia,469,478,10,36162,25244,688
2020-07-24,Armenia,451,490,4,36613,25734,692
2020-07-25,Armenia,383,509,8,36996,26243,700
2020-07-26,Armenia,321,235,5,37317,26478,705
2020-07-27,Armenia,73,187,6,37390,26665,711
2020-07-28,Armenia,239,692,8,37629,27357,719
2020-07-29,Armenia,308,467,4,37937,27824,723
2020-07-30,Armenia,259,542,5,38196,28366,728
2020-07-31,Armenia,354,631,10,38550,28997,738
2020-08-01,Armenia,291,560,11,38841,29557,749
2020-08-02,Armenia,209,193,5,39050,29750,754
2020-08-03,Armenia,52,111,8,39102,29861,762
2020-08-04,Armenia,196,511,6,39298,30372,768
2020-08-05,Armenia,288,478,2,39586,30850,770
2020-08-06,Armenia,233,706,2,39819,31556,772
2020-08-07,Armenia,166,452,5,39985,32008,777
2020-08-08,Armenia,200,387,8,40185,32395,785
2020-08-09,Armenia,225,125,6,40410,32520,791
2020-08-10,Armenia,23,96,5,40433,32616,796
2020-08-11,Armenia,160,541,7,40593,33157,803
