Date,Country,Confirmed,Recovered,Deceased,Total_Confirmed,Total_Recovered,Total_Deceased
2020-01-23,Canada,0,0,0,0,0,0
2020-01-24,Canada,0,0,0,0,0,0
2020-01-25,Canada,0,0,0,0,0,0
2020-01-26,Canada,1,0,0,1,0,0
2020-01-27,Canada,0,0,0,1,0,0
2020-01-28,Canada,1,0,0,2,0,0
2020-01-29,Canada,0,0,0,2,0,0
2020-01-30,Canada,0,0,0,2,0,0
2020-01-31,Canada,2,0,0,4,0,0
2020-02-01,Canada,0,0,0,4,0,0
2020-02-02,Canada,0,0,0,4,0,0
2020-02-03,Canada,0,0,0,4,0,0
2020-02-04,Canada,0,0,0,4,0,0
2020-02-05,Canada,1,0,0,5,0,0
2020-02-06,Canada,0,0,0,5,0,0
2020-02-07,Canada,2,0,0,7,0,0
2020-02-08,Canada,0,0,0,7,0,0
2020-02-09,Canada,0,0,0,7,0,0
2020-02-10,Canada,0,0,0,7,0,0
2020-02-11,Canada,0,0,0,7,0,0
2020-02-12,Canada,0,1,0,7,1,0
2020-02-13,Canada,0,0,0,7,1,0
2020-02-14,Canada,0,0,0,7,1,0
2020-02-15,Canada,0,0,0,7,1,0
2020-02-16,Canada,0,0,0,7,1,0
2020-02-17,Canada,1,0,0,8,1,0
2020-02-18,Canada,0,0,0,8,1,0
2020-02-19,Canada,0,0,0,8,1,0
2020-02-20,Canada,0,0,0,8,1,0
2020-02-21,Canada,1,2,0,9,3,0
2020-02-22,Canada,0,0,0,9,3,0
2020-02-23,Canada,0,0,0,9,3,0
2020-02-24,Canada,1,0,0,10,3,0
2020-02-25,Canada,1,0,0,11,3,0
2020-02-26,Canada,0,0,0,11,3,0
2020-02-27,Canada,2,3,0,13,6,0
2020-02-28,Canada,1,0,0,14,6,0
2020-02-29,Canada,6,0,0,20,6,0
2020-03-01,Canada,4,0,0,24,6,0
2020-03-02,Canada,3,0,0,27,6,0
2020-03-03,Canada,3,0,0,30,6,0
2020-03-04,Canada,3,0,0,33,6,0
2020-03-05,Canada,4,0,0,37,6,0
2020-03-06,Canada,12,0,0,49,6,0
2020-03-07,Canada,5,2,0,54,8,0
2020-03-08,Canada,10,0,0,64,8,0
2020-03-09,Canada,13,0,1,77,8,1
2020-03-10,Canada,2,0,0,79,8,1
2020-03-11,Canada,29,0,0,108,8,1
2020-03-12,Canada,9,0,0,117,8,1
2020-03-13,Canada,76,0,0,193,8,1
2020-03-14,Canada,5,0,0,198,8,1
2020-03-15,Canada,54,0,0,252,8,1
2020-03-16,Canada,163,1,3,415,9,4
2020-03-17,Canada,63,0,1,478,9,5
2020-03-18,Canada,179,0,3,657,9,8
2020-03-19,Canada,143,0,1,800,9,9
2020-03-20,Canada,143,0,3,943,9,12
2020-03-21,Canada,334,1,7,1277,10,19
2020-03-22,Canada,192,0,2,1469,10,21
2020-03-23,Canada,619,0,4,2088,10,25
2020-03-24,Canada,702,100,1,2790,110,26
2020-03-25,Canada,461,73,4,3251,183,30
2020-03-26,Canada,791,1,8,4042,184,38
2020-03-27,Canada,640,72,16,4682,256,54
2020-03-28,Canada,894,210,7,5576,466,61
2020-03-29,Canada,704,0,3,6280,466,64
2020-03-30,Canada,1118,0,16,7398,466,80
2020-03-31,Canada,1129,1126,21,8527,1592,101
2020-04-01,Canada,1033,-268,8,9560,1324,109
2020-04-02,Canada,1724,411,30,11284,1735,139
2020-04-03,Canada,1153,440,40,12437,2175,179
2020-04-04,Canada,541,402,39,12978,2577,218
2020-04-05,Canada,2778,435,41,15756,3012,259
2020-04-06,Canada,807,244,80,16563,3256,339
2020-04-07,Canada,1309,535,36,17872,3791,375
2020-04-08,Canada,1269,363,32,19141,4154,407
2020-04-09,Canada,1513,1008,96,20654,5162,503
2020-04-10,Canada,1405,693,54,22059,5855,557
2020-04-11,Canada,1257,734,97,23316,6589,654
2020-04-12,Canada,983,534,60,24299,7123,714
2020-04-13,Canada,1381,635,67,25680,7758,781
2020-04-14,Canada,1355,452,120,27035,8210,901
2020-04-15,Canada,1174,756,107,28209,8966,1008
2020-04-16,Canada,2600,732,251,30809,9698,1259
2020-04-17,Canada,2005,847,97,32814,10545,1356
2020-04-18,Canada,1542,419,45,34356,10964,1401
2020-04-19,Canada,1277,883,164,35633,11847,1565
2020-04-20,Canada,2025,696,162,37658,12543,1727
2020-04-21,Canada,1744,645,183,39402,13188,1910
2020-04-22,Canada,2261,1266,168,41663,14454,2078
2020-04-23,Canada,1636,307,163,43299,14761,2241
2020-04-24,Canada,1620,388,161,44919,15149,2402
2020-04-25,Canada,1452,864,169,46371,16013,2571
2020-04-26,Canada,1662,870,116,48033,16883,2687
2020-04-27,Canada,1583,1385,154,49616,18268,2841
2020-04-28,Canada,1534,963,142,51150,19231,2983
2020-04-29,Canada,1715,1096,172,52865,20327,3155
2020-04-30,Canada,1592,1097,155,54457,21424,3310
2020-05-01,Canada,1886,1340,227,56343,22764,3537
2020-05-02,Canada,1583,1050,147,57926,23814,3684
2020-05-03,Canada,2578,1107,111,60504,24921,3795
2020-05-04,Canada,1453,1109,208,61957,26030,4003
2020-05-05,Canada,1258,976,187,63215,27006,4190
2020-05-06,Canada,1479,1178,176,64694,28184,4366
2020-05-07,Canada,1507,1076,175,66201,29260,4541
2020-05-08,Canada,1473,979,156,67674,30239,4697
2020-05-09,Canada,1244,1023,126,68918,31262,4823
2020-05-10,Canada,1173,847,168,70091,32109,4991
2020-05-11,Canada,1173,898,124,71264,33007,5115
2020-05-12,Canada,1155,1048,185,72419,34055,5300
2020-05-13,Canada,1149,1122,125,73568,35177,5425
2020-05-14,Canada,1213,927,167,74781,36104,5592
2020-05-15,Canada,1178,804,87,75959,36908,5679
2020-05-16,Canada,1247,924,121,77206,37832,5800
2020-05-17,Canada,1126,731,103,78332,38563,5903
2020-05-18,Canada,1079,688,57,79411,39251,5960
2020-05-19,Canada,1082,818,68,80493,40069,6028
2020-05-20,Canada,1082,724,122,81575,40793,6150
2020-05-21,Canada,1167,938,117,82742,41731,6267
2020-05-22,Canada,1205,877,93,83947,42608,6360
2020-05-23,Canada,1204,710,106,85151,43318,6466
2020-05-24,Canada,955,680,68,86106,43998,6534
2020-05-25,Canada,1013,653,121,87119,44651,6655
2020-05-26,Canada,971,701,98,88090,45352,6753
2020-05-27,Canada,899,896,123,88989,46248,6876
2020-05-28,Canada,987,713,106,89976,46961,6982
2020-05-29,Canada,933,944,81,90909,47905,7063
2020-05-30,Canada,772,612,96,91681,48517,7159
2020-05-31,Canada,798,696,215,92479,49213,7374
2020-06-01,Canada,809,878,30,93288,50091,7404
2020-06-02,Canada,672,634,74,93960,50725,7478
2020-06-03,Canada,681,781,101,94641,51506,7579
2020-06-04,Canada,628,678,138,95269,52184,7717
2020-06-05,Canada,678,890,61,95947,53074,7778
2020-06-06,Canada,528,1013,72,96475,54087,7850
2020-06-07,Canada,703,588,27,97178,54675,7877
2020-06-08,Canada,601,668,33,97779,55343,7910
2020-06-09,Canada,462,774,60,98241,56117,7970
2020-06-10,Canada,479,1098,68,98720,57215,8038
2020-06-11,Canada,439,916,33,99159,58131,8071
2020-06-12,Canada,436,903,54,99595,59034,8125
2020-06-13,Canada,448,817,58,100043,59851,8183
2020-06-14,Canada,361,817,35,100404,60668,8218
2020-06-15,Canada,359,798,10,100763,61466,8228
2020-06-16,Canada,324,433,43,101087,61899,8271
2020-06-17,Canada,404,1381,41,101491,63280,8312
2020-06-18,Canada,386,502,49,101877,63782,8361
2020-06-19,Canada,437,536,47,102314,64318,8408
2020-06-20,Canada,448,508,58,102762,64826,8466
2020-06-21,Canada,316,423,16,103078,65249,8482
2020-06-22,Canada,340,472,12,103418,65721,8494
2020-06-23,Canada,349,414,18,103767,66135,8512
2020-06-24,Canada,320,398,32,104087,66533,8544
2020-06-25,Canada,376,336,23,104463,66869,8567
2020-06-26,Canada,166,313,4,104629,67182,8571
2020-06-27,Canada,249,263,5,104878,67445,8576
2020-06-28,Canada,315,244,6,105193,67689,8582
2020-06-29,Canada,637,1009,46,105830,68698,8628
2020-06-30,Canada,267,422,22,106097,69120,8650
2020-07-01,Canada,191,277,28,106288,69397,8678
2020-07-02,Canada,355,475,22,106643,69872,8700
2020-07-03,Canada,319,360,22,106962,70232,8722
2020-07-04,Canada,223,275,10,107185,70507,8732
2020-07-05,Canada,209,265,7,107394,70772,8739
2020-07-06,Canada,421,369,9,107815,71141,8748
2020-07-07,Canada,208,277,17,108023,71418,8765
2020-07-08,Canada,311,387,21,108334,71805,8786
2020-07-09,Canada,322,290,11,108656,72095,8797
2020-07-10,Canada,328,371,14,108984,72466,8811
2020-07-11,Canada,166,318,7,109150,72784,8818
2020-07-12,Canada,198,170,11,109348,72954,8829
2020-07-13,Canada,636,427,7,109984,73381,8836
2020-07-14,Canada,366,332,9,110350,73713,8845
2020-07-15,Canada,343,354,12,110693,74067,8857
2020-07-16,Canada,451,366,18,111144,74433,8875
2020-07-17,Canada,415,23848,9,111559,98281,8884
2020-07-18,Canada,316,155,8,111875,98436,8892
2020-07-19,Canada,293,128,4,112168,98564,8896
2020-07-20,Canada,770,411,6,112938,98975,8902
2020-07-21,Canada,535,273,6,113473,99248,8908
2020-07-22,Canada,317,253,5,113790,99501,8913
2020-07-23,Canada,608,436,6,114398,99937,8919
2020-07-24,Canada,717,567,4,115115,100504,8923
2020-07-25,Canada,355,261,6,115470,100765,8929
2020-07-26,Canada,319,204,5,115789,100969,8934
2020-07-27,Canada,682,478,11,116471,101447,8945
2020-07-28,Canada,400,239,12,116871,101686,8957
