Date,Country,Confirmed,Recovered,Deceased,Total_Confirmed,Total_Recovered,Total_Deceased
2020-01-23,Chile,0,0,0,0,0,0
2020-01-24,Chile,0,0,0,0,0,0
2020-01-25,Chile,0,0,0,0,0,0
2020-01-26,Chile,0,0,0,0,0,0
2020-01-27,Chile,0,0,0,0,0,0
2020-01-28,Chile,0,0,0,0,0,0
2020-01-29,Chile,0,0,0,0,0,0
2020-01-30,Chile,0,0,0,0,0,0
2020-01-31,Chile,0,0,0,0,0,0
2020-02-01,Chile,0,0,0,0,0,0
2020-02-02,Chile,0,0,0,0,0,0
2020-02-03,Chile,0,0,0,0,0,0
2020-02-04,Chile,0,0,0,0,0,0
2020-02-05,Chile,0,0,0,0,0,0
2020-02-06,Chile,0,0,0,0,0,0
2020-02-07,Chile,0,0,0,0,0,0
2020-02-08,Chile,0,0,0,0,0,0
2020-02-09,Chile,0,0,0,0,0,0
2020-02-10,Chile,0,0,0,0,0,0
2020-02-11,Chile,0,0,0,0,0,0
2020-02-12,Chile,0,0,0,0,0,0
2020-02-13,Chile,0,0,0,0,0,0
2020-02-14,Chile,0,0,0,0,0,0
2020-02-15,Chile,0,0,0,0,0,0
2020-02-16,Chile,0,0,0,0,0,0
2020-02-17,Chile,0,0,0,0,0,0
2020-02-18,Chile,0,0,0,0,0,0
2020-02-19,Chile,0,0,0,0,0,0
2020-02-20,Chile,0,0,0,0,0,0
2020-02-21,Chile,0,0,0,0,0,0
2020-02-22,Chile,0,0,0,0,0,0
2020-02-23,Chile,2,0,0,2,0,0
2020-02-24,Chile,0,0,0,2,0,0
2020-02-25,Chile,0,0,0,2,0,0
2020-02-26,Chile,0,0,0,2,0,0
2020-02-27,Chile,0,0,0,2,0,0
2020-02-28,Chile,0,0,0,2,0,0
2020-02-29,Chile,0,0,0,2,0,0
2020-03-01,Chile,7,0,0,9,0,0
2020-03-02,Chile,0,0,0,9,0,0
2020-03-03,Chile,1,0,0,10,0,0
2020-03-04,Chile,0,0,0,10,0,0
2020-03-05,Chile,3,0,0,13,0,0
2020-03-06,Chile,0,0,0,13,0,0
2020-03-07,Chile,0,0,0,13,0,0
2020-03-08,Chile,7,0,0,20,0,0
2020-03-09,Chile,0,0,0,20,0,0
2020-03-10,Chile,5,0,0,25,0,0
2020-03-11,Chile,10,0,0,35,0,0
2020-03-12,Chile,0,0,0,35,0,0
2020-03-13,Chile,20,0,0,55,0,0
2020-03-14,Chile,33,0,0,88,0,0
2020-03-15,Chile,13,0,0,101,0,0
2020-03-16,Chile,81,0,0,182,0,0
2020-03-17,Chile,46,0,0,228,0,0
2020-03-18,Chile,37,0,0,265,0,0
2020-03-19,Chile,0,0,0,265,0,0
2020-03-20,Chile,196,6,0,461,6,0
2020-03-21,Chile,131,0,0,592,6,0
2020-03-22,Chile,95,2,1,687,8,1
2020-03-23,Chile,114,0,1,801,8,2
2020-03-24,Chile,176,9,0,977,17,2
2020-03-25,Chile,220,5,1,1197,22,3
2020-03-26,Chile,164,0,1,1361,22,4
2020-03-27,Chile,304,21,1,1665,43,5
2020-03-28,Chile,350,18,1,2015,61,6
2020-03-29,Chile,230,14,1,2245,75,7
2020-03-30,Chile,310,81,1,2555,156,8
2020-03-31,Chile,289,0,4,2844,156,12
2020-04-01,Chile,293,78,4,3137,234,16
2020-04-02,Chile,373,101,2,3510,335,18
2020-04-03,Chile,333,92,4,3843,427,22
2020-04-04,Chile,512,101,5,4355,528,27
2020-04-05,Chile,310,90,7,4665,618,34
2020-04-06,Chile,344,110,3,5009,728,37
2020-04-07,Chile,301,170,6,5310,898,43
2020-04-08,Chile,430,217,5,5740,1115,48
2020-04-09,Chile,426,159,9,6166,1274,57
2020-04-10,Chile,529,297,8,6695,1571,65
2020-04-11,Chile,671,293,8,7366,1864,73
2020-04-12,Chile,286,195,7,7652,2059,80
2020-04-13,Chile,312,308,2,7964,2367,82
2020-04-14,Chile,392,279,10,8356,2646,92
2020-04-15,Chile,356,291,2,8712,2937,94
2020-04-16,Chile,534,362,11,9246,3299,105
2020-04-17,Chile,445,322,11,9691,3621,116
2020-04-18,Chile,907,414,10,10598,4035,126
2020-04-19,Chile,358,303,7,10956,4338,133
2020-04-20,Chile,419,338,6,11375,4676,139
2020-04-21,Chile,325,293,8,11700,4969,147
2020-04-22,Chile,464,417,13,12164,5386,160
2020-04-23,Chile,516,418,8,12680,5804,168
2020-04-24,Chile,494,523,6,13174,6327,174
2020-04-25,Chile,1363,419,7,14537,6746,181
2020-04-26,Chile,473,278,8,15010,7024,189
2020-04-27,Chile,482,303,9,15492,7327,198
2020-04-28,Chile,552,383,9,16044,7710,207
2020-04-29,Chile,520,347,9,16564,8057,216
2020-04-30,Chile,1138,523,11,17702,8580,227
2020-05-01,Chile,985,438,7,18687,9018,234
2020-05-02,Chile,2526,554,13,21213,9572,247
2020-05-03,Chile,1228,469,13,22441,10041,260
2020-05-04,Chile,980,374,10,23421,10415,270
2020-05-05,Chile,1373,295,5,24794,10710,275
2020-05-06,Chile,1032,479,6,25826,11189,281
2020-05-07,Chile,1533,475,4,27359,11664,285
2020-05-08,Chile,1391,496,9,28750,12160,294
2020-05-09,Chile,3458,507,10,32208,12667,304
2020-05-10,Chile,1647,445,8,33855,13112,312
2020-05-11,Chile,1197,493,11,35052,13605,323
2020-05-12,Chile,1658,520,12,36710,14125,335
2020-05-13,Chile,2660,740,11,39370,14865,346
2020-05-14,Chile,2659,790,22,42029,15655,368
2020-05-15,Chile,2502,959,26,44531,16614,394
2020-05-16,Chile,5485,1400,27,50016,18014,421
2020-05-17,Chile,2353,1199,29,52369,19213,450
2020-05-18,Chile,2278,952,28,54647,20165,478
2020-05-19,Chile,3520,1342,31,58167,21507,509
2020-05-20,Chile,4038,997,35,62205,22504,544
2020-05-21,Chile,3964,1488,45,66169,23992,589
2020-05-22,Chile,4276,1350,41,70445,25342,630
2020-05-23,Chile,9842,1204,43,80287,26546,673
2020-05-24,Chile,3709,1602,45,83996,28148,718
2020-05-25,Chile,4895,1154,43,88891,29302,761
2020-05-26,Chile,3964,1613,45,92855,30915,806
2020-05-27,Chile,4328,2625,35,97183,33540,841
2020-05-28,Chile,4654,2575,49,101837,36115,890
2020-05-29,Chile,3695,2483,54,105532,38598,944
2020-05-30,Chile,13188,1833,53,118720,40431,997
2020-05-31,Chile,4830,2296,57,123550,42727,1054
2020-06-01,Chile,5470,2219,59,129020,44946,1113
2020-06-02,Chile,3528,41227,75,132548,86173,1188
2020-06-03,Chile,4942,4575,87,137490,90748,1275
2020-06-04,Chile,4664,4883,81,142154,95631,1356
2020-06-05,Chile,4207,3727,92,146361,99358,1448
2020-06-06,Chile,13990,4459,93,160351,103817,1541
2020-06-07,Chile,6405,4333,96,166756,108150,1637
2020-06-08,Chile,4696,4098,627,171452,112248,2264
2020-06-09,Chile,3913,5113,19,175365,117361,2283
2020-06-10,Chile,5697,4419,192,181062,121780,2475
2020-06-11,Chile,5636,4664,173,186698,126444,2648
2020-06-12,Chile,6754,4914,222,193452,131358,2870
2020-06-13,Chile,8182,5938,231,201634,137296,3101
2020-06-14,Chile,6938,6408,222,208572,143704,3323
2020-06-15,Chile,5143,5088,39,213715,148792,3362
2020-06-16,Chile,5013,7440,21,218728,156232,3383
2020-06-17,Chile,1900,25699,232,220628,181931,3615
2020-06-18,Chile,4475,4510,226,225103,186441,3841
2020-06-19,Chile,6290,5050,252,231393,191491,4093
2020-06-20,Chile,5355,5118,202,236748,196609,4295
2020-06-21,Chile,5607,3960,184,242355,200569,4479
2020-06-22,Chile,4608,4828,23,246963,205397,4502
2020-06-23,Chile,3804,5173,3,250767,210570,4505
2020-06-24,Chile,3649,4523,226,254416,215093,4731
2020-06-25,Chile,4648,4234,172,259064,219327,4903
2020-06-26,Chile,4296,4104,165,263360,223431,5068
2020-06-27,Chile,4406,4624,279,267766,228055,5347
2020-06-28,Chile,4216,4155,162,271982,232210,5509
2020-06-29,Chile,4017,3944,66,275999,236154,5575
2020-06-30,Chile,3394,5075,113,279393,241229,5688
2020-07-01,Chile,2650,4214,65,282043,245443,5753
2020-07-02,Chile,2498,3804,167,284541,249247,5920
