Date,Country,Confirmed,Recovered,Deceased,Total_Confirmed,Total_Recovered,Total_Deceased
2020-01-23,Czechia,0,0,0,0,0,0
2020-01-24,Czechia,0,0,0,0,0,0
2020-01-25,Czechia,0,0,0,0,0,0
2020-01-26,Czechia,0,0,0,0,0,0
2020-01-27,Czechia,0,0,0,0,0,0
2020-01-28,Czechia,0,0,0,0,0,0
2020-01-29,Czechia,0,0,0,0,0,0
2020-01-30,Czechia,0,0,0,0,0,0
2020-01-31,Czechia,0,0,0,0,0,0
2020-02-01,Czechia,0,0,0,0,0,0
2020-02-02,Czechia,0,0,0,0,0,0
2020-02-03,Czechia,0,0,0,0,0,0
2020-02-04,Czechia,0,0,0,0,0,0
2020-02-05,Czechia,0,0,0,0,0,0
2020-02-06,Czechia,0,0,0,0,0,0
2020-02-07,Czechia,0,0,0,0,0,0
2020-02-08,Czechia,0,0,0,0,0,0
2020-02-09,Czechia,0,0,0,0,0,0
2020-02-10,Czechia,0,0,0,0,0,0
2020-02-11,Czechia,0,0,0,0,0,0
2020-02-12,Czechia,0,0,0,0,0,0
2020-02-13,Czechia,0,0,0,0,0,0
2020-02-14,Czechia,0,0,0,0,0,0
2020-02-15,Czechia,0,0,0,0,0,0
2020-02-16,Czechia,0,0,0,0,0,0
2020-02-17,Czechia,0,0,0,0,0,0
2020-02-18,Czechia,0,0,0,0,0,0
2020-02-19,Czechia,0,0,0,0,0,0
2020-02-20,Czechia,0,0,0,0,0,0
2020-02-21,Czechia,0,0,0,0,0,0
2020-02-22,Czechia,0,0,0,0,0,0
2020-02-23,Czechia,0,0,0,0,0,0
2020-02-24,Czechia,0,0,0,0,0,0
2020-02-25,Czechia,0,0,0,0,0,0
2020-02-26,Czechia,0,0,0,0,0,0
2020-02-27,Czechia,0,0,0,0,0,0
2020-02-28,Czechia,0,0,0,0,0,0
2020-02-29,Czechia,0,0,0,0,0,0
2020-03-01,Czechia,3,0,0,3,0,0
2020-03-02,Czechia,0,0,0,3,0,0
2020-03-03,Czechia,2,0,0,5,0,0
2020-03-04,Czechia,3,0,0,8,0,0
2020-03-05,Czechia,4,0,0,12,0,0
2020-03-06,Czechia,6,0,0,18,0,0
2020-03-07,Czechia,1,0,0,19,0,0
2020-03-08,Czechia,12,0,0,31,0,0
2020-03-09,Czechia,0,0,0,31,0,0
2020-03-10,Czechia,10,0,0,41,0,0
2020-03-11,Czechia,50,0,0,91,0,0
2020-03-12,Czechia,3,0,0,94,0,0
2020-03-13,Czechia,47,0,0,141,0,0
2020-03-14,Czechia,48,0,0,189,0,0
2020-03-15,Czechia,64,0,0,253,0,0
2020-03-16,Czechia,45,3,0,298,3,0
2020-03-17,Czechia,98,0,0,396,3,0
2020-03-18,Czechia,68,0,0,464,3,0
2020-03-19,Czechia,230,0,0,694,3,0
2020-03-20,Czechia,139,1,0,833,4,0
2020-03-21,Czechia,162,2,0,995,6,0
2020-03-22,Czechia,125,0,1,1120,6,1
2020-03-23,Czechia,116,0,0,1236,6,1
2020-03-24,Czechia,158,4,2,1394,10,3
2020-03-25,Czechia,260,0,3,1654,10,6
2020-03-26,Czechia,271,0,3,1925,10,9
2020-03-27,Czechia,354,1,0,2279,11,9
2020-03-28,Czechia,352,0,2,2631,11,11
2020-03-29,Czechia,186,0,5,2817,11,16
2020-03-30,Czechia,184,14,7,3001,25,23
2020-03-31,Czechia,307,20,8,3308,45,31
2020-04-01,Czechia,200,16,8,3508,61,39
2020-04-02,Czechia,350,6,5,3858,67,44
2020-04-03,Czechia,233,5,9,4091,72,53
2020-04-04,Czechia,381,6,6,4472,78,59
2020-04-05,Czechia,115,18,8,4587,96,67
2020-04-06,Czechia,235,25,11,4822,121,78
