Date,Country,Confirmed,Recovered,Deceased,Total_Confirmed,Total_Recovered,Total_Deceased
2020-01-23,Egypt,0,0,0,0,0,0
2020-01-24,Egypt,0,0,0,0,0,0
2020-01-25,Egypt,0,0,0,0,0,0
2020-01-26,Egypt,0,0,0,0,0,0
2020-01-27,Egypt,0,0,0,0,0,0
2020-01-28,Egypt,0,0,0,0,0,0
2020-01-29,Egypt,0,0,0,0,0,0
2020-01-30,Egypt,0,0,0,0,0,0
2020-01-31,Egypt,0,0,0,0,0,0
2020-02-01,Egypt,0,0,0,0,0,0
2020-02-02,Egypt,0,0,0,0,0,0
2020-02-03,Egypt,0,0,0,0,0,0
2020-02-04,Egypt,0,0,0,0,0,0
2020-02-05,Egypt,0,0,0,0,0,0
2020-02-06,Egypt,0,0,0,0,0,0
2020-02-07,Egypt,0,0,0,0,0,0
2020-02-08,Egypt,0,0,0,0,0,0
2020-02-09,Egypt,0,0,0,0,0,0
2020-02-10,Egypt,0,0,0,0,0,0
2020-02-11,Egypt,0,0,0,0,0,0
2020-02-12,Egypt,0,0,0,0,0,0
2020-02-13,Egypt,0,0,0,0,0,0
2020-02-14,Egypt,1,0,0,1,0,0
2020-02-15,Egypt,0,0,0,1,0,0
2020-02-16,Egypt,0,0,0,1,0,0
2020-02-17,Egypt,0,0,0,1,0,0
2020-02-18,Egypt,0,0,0,1,0,0
2020-02-19,Egypt,0,0,0,1,0,0
2020-02-20,Egypt,0,0,0,1,0,0
2020-02-21,Egypt,0,0,0,1,0,0
2020-02-22,Egypt,0,0,0,1,0,0
2020-02-23,Egypt,0,0,0,1,0,0
2020-02-24,Egypt,0,0,0,1,0,0
2020-02-25,Egypt,0,0,0,1,0,0
2020-02-26,Egypt,0,0,0,1,0,0
2020-02-27,Egypt,0,0,0,1,0,0
2020-02-28,Egypt,0,1,0,1,1,0
2020-02-29,Egypt,0,0,0,1,1,0
2020-03-01,Egypt,1,0,0,2,1,0
2020-03-02,Egypt,0,0,0,2,1,0
2020-03-03,Egypt,0,0,0,2,1,0
2020-03-04,Egypt,0,0,0,2,1,0
2020-03-05,Egypt,1,0,0,3,1,0
2020-03-06,Egypt,12,0,0,15,1,0
2020-03-07,Egypt,0,0,0,15,1,0
2020-03-08,Egypt,34,0,1,49,1,1
2020-03-09,Egypt,6,0,0,55,1,1
2020-03-10,Egypt,4,0,0,59,1,1
2020-03-11,Egypt,1,26,0,60,27,1
2020-03-12,Egypt,7,0,0,67,27,1
2020-03-13,Egypt,13,0,1,80,27,2
2020-03-14,Egypt,29,0,0,109,27,2
2020-03-15,Egypt,1,-6,0,110,21,2
2020-03-16,Egypt,40,6,0,150,27,2
2020-03-17,Egypt,46,5,2,196,32,4
2020-03-18,Egypt,0,0,2,196,32,6
2020-03-19,Egypt,60,0,0,256,32,6
2020-03-20,Egypt,29,7,2,285,39,8
2020-03-21,Egypt,9,2,2,294,41,10
2020-03-22,Egypt,33,15,4,327,56,14
2020-03-23,Egypt,39,0,5,366,56,19
2020-03-24,Egypt,36,24,1,402,80,20
2020-03-25,Egypt,54,15,1,456,95,21
2020-03-26,Egypt,39,7,3,495,102,24
2020-03-27,Egypt,41,14,6,536,116,30
2020-03-28,Egypt,40,5,6,576,121,36
2020-03-29,Egypt,33,11,4,609,132,40
2020-03-30,Egypt,47,18,1,656,150,41
2020-03-31,Egypt,54,7,5,710,157,46
2020-04-01,Egypt,69,22,6,779,179,52
2020-04-02,Egypt,86,22,6,865,201,58
2020-04-03,Egypt,120,15,8,985,216,66
2020-04-04,Egypt,85,25,5,1070,241,71
2020-04-05,Egypt,103,6,7,1173,247,78
2020-04-06,Egypt,149,12,7,1322,259,85
2020-04-07,Egypt,128,17,9,1450,276,94
2020-04-08,Egypt,110,29,9,1560,305,103
2020-04-09,Egypt,139,43,15,1699,348,118
2020-04-10,Egypt,95,36,17,1794,384,135
2020-04-11,Egypt,145,42,11,1939,426,146
2020-04-12,Egypt,126,163,13,2065,589,159
2020-04-13,Egypt,125,0,5,2190,589,164
2020-04-14,Egypt,160,0,14,2350,589,178
2020-04-15,Egypt,155,0,5,2505,589,183
2020-04-16,Egypt,168,7,13,2673,596,196
2020-04-17,Egypt,171,50,9,2844,646,205
2020-04-18,Egypt,188,55,19,3032,701,224
2020-04-19,Egypt,112,31,15,3144,732,239
2020-04-20,Egypt,189,89,11,3333,821,250
2020-04-21,Egypt,157,49,14,3490,870,264
2020-04-22,Egypt,169,65,12,3659,935,276
2020-04-23,Egypt,232,69,11,3891,1004,287
2020-04-24,Egypt,201,71,7,4092,1075,294
2020-04-25,Egypt,227,39,13,4319,1114,307
2020-04-26,Egypt,215,62,10,4534,1176,317
2020-04-27,Egypt,248,60,20,4782,1236,337
2020-04-28,Egypt,260,68,22,5042,1304,359
2020-04-29,Egypt,226,31,21,5268,1335,380
2020-04-30,Egypt,269,46,12,5537,1381,392
2020-05-01,Egypt,358,79,14,5895,1460,406
2020-05-02,Egypt,298,62,9,6193,1522,415
2020-05-03,Egypt,272,40,14,6465,1562,429
2020-05-04,Egypt,348,70,7,6813,1632,436
2020-05-05,Egypt,388,98,16,7201,1730,452
2020-05-06,Egypt,387,85,17,7588,1815,469
2020-05-07,Egypt,393,72,13,7981,1887,482
2020-05-08,Egypt,495,58,21,8476,1945,503
2020-05-09,Egypt,488,57,11,8964,2002,514
2020-05-10,Egypt,436,73,11,9400,2075,525
2020-05-11,Egypt,346,97,8,9746,2172,533
2020-05-12,Egypt,347,154,11,10093,2326,544
2020-05-13,Egypt,338,160,12,10431,2486,556
2020-05-14,Egypt,398,140,15,10829,2626,571
2020-05-15,Egypt,399,173,21,11228,2799,592
2020-05-16,Egypt,491,151,20,11719,2950,612
2020-05-17,Egypt,510,222,18,12229,3172,630
2020-05-18,Egypt,535,268,15,12764,3440,645
2020-05-19,Egypt,720,302,14,13484,3742,659
2020-05-20,Egypt,745,252,21,14229,3994,680
2020-05-21,Egypt,774,223,16,15003,4217,696
2020-05-22,Egypt,783,157,11,15786,4374,707
2020-05-23,Egypt,727,254,28,16513,4628,735
2020-05-24,Egypt,752,179,29,17265,4807,764
2020-05-25,Egypt,702,93,19,17967,4900,783
2020-05-26,Egypt,789,127,14,18756,5027,797
2020-05-27,Egypt,910,178,19,19666,5205,816
2020-05-28,Egypt,1127,154,29,20793,5359,845
2020-05-29,Egypt,1289,152,34,22082,5511,879
2020-05-30,Egypt,1367,182,34,23449,5693,913
2020-05-31,Egypt,1536,344,46,24985,6037,959
2020-06-01,Egypt,1399,410,46,26384,6447,1005
2020-06-02,Egypt,1152,380,47,27536,6827,1052
2020-06-03,Egypt,1079,523,36,28615,7350,1088
2020-06-04,Egypt,1152,406,38,29767,7756,1126
2020-06-05,Egypt,1348,402,40,31115,8158,1166
2020-06-06,Egypt,1497,380,32,32612,8538,1198
2020-06-07,Egypt,1467,423,39,34079,8961,1237
2020-06-08,Egypt,1365,414,34,35444,9375,1271
2020-06-09,Egypt,1385,411,35,36829,9786,1306
2020-06-10,Egypt,1455,503,36,38284,10289,1342
2020-06-11,Egypt,1442,402,35,39726,10691,1377
2020-06-12,Egypt,1577,417,45,41303,11108,1422
2020-06-13,Egypt,1677,421,62,42980,11529,1484
2020-06-14,Egypt,1618,402,91,44598,11931,1575
2020-06-15,Egypt,1691,398,97,46289,12329,1672
2020-06-16,Egypt,1567,401,94,47856,12730,1766
2020-06-17,Egypt,1363,411,84,49219,13141,1850
2020-06-18,Egypt,1218,387,88,50437,13528,1938
2020-06-19,Egypt,1774,400,79,52211,13928,2017
2020-06-20,Egypt,1547,399,89,53758,14327,2106
2020-06-21,Egypt,1475,409,87,55233,14736,2193
2020-06-22,Egypt,1576,397,85,56809,15133,2278
2020-06-23,Egypt,1332,402,87,58141,15535,2365
2020-06-24,Egypt,1420,400,85,59561,15935,2450
2020-06-25,Egypt,1569,403,83,61130,16338,2533
2020-06-26,Egypt,1625,399,87,62755,16737,2620
2020-06-27,Egypt,1168,403,88,63923,17140,2708
2020-06-28,Egypt,1265,399,81,65188,17539,2789
2020-06-29,Egypt,1566,412,83,66754,17951,2872
2020-06-30,Egypt,1557,509,81,68311,18460,2953
2020-07-01,Egypt,1503,421,81,69814,18881,3034
2020-07-02,Egypt,1485,407,86,71299,19288,3120
2020-07-03,Egypt,1412,402,81,72711,19690,3201
2020-07-04,Egypt,1324,413,79,74035,20103,3280
2020-07-05,Egypt,1218,623,63,75253,20726,3343
2020-07-06,Egypt,969,512,79,76222,21238,3422
2020-07-07,Egypt,1057,480,67,77279,21718,3489
2020-07-08,Egypt,1025,523,75,78304,22241,3564
2020-07-09,Egypt,950,512,53,79254,22753,3617
2020-07-10,Egypt,981,521,85,80235,23274,3702
2020-07-11,Egypt,923,602,67,81158,23876,3769
2020-07-12,Egypt,912,543,89,82070,24419,3858
2020-07-13,Egypt,931,556,77,83001,24975,3935
2020-07-14,Egypt,929,569,73,83930,25544,4008
2020-07-15,Egypt,913,591,59,84843,26135,4067
2020-07-16,Egypt,928,556,53,85771,26691,4120
2020-07-17,Egypt,703,611,68,86474,27302,4188
2020-07-18,Egypt,698,566,63,87172,27868,4251
2020-07-19,Egypt,603,512,51,87775,28380,4302
2020-07-20,Egypt,627,544,50,88402,28924,4352
2020-07-21,Egypt,676,549,47,89078,29473,4399
2020-07-22,Egypt,667,602,41,89745,30075,4440
2020-07-23,Egypt,668,991,40,90413,31066,4480
2020-07-24,Egypt,659,904,38,91072,31970,4518
2020-07-25,Egypt,511,933,40,91583,32903,4558
2020-07-26,Egypt,479,928,48,92062,33831,4606
2020-07-27,Egypt,420,1007,46,92482,34838,4652
2020-07-28,Egypt,465,1121,39,92947,35959,4691
2020-07-29,Egypt,409,1066,37,93356,37025,4728
2020-07-30,Egypt,401,1211,46,93757,38236,4774
2020-07-31,Egypt,321,1402,31,94078,39638,4805
2020-08-01,Egypt,238,1499,29,94316,41137,4834
2020-08-02,Egypt,167,1318,31,94483,42455,4865
2020-08-03,Egypt,157,1611,23,94640,44066,4888
2020-08-04,Egypt,112,1503,24,94752,45569,4912
2020-08-05,Egypt,123,1613,18,94875,47182,4930
2020-08-06,Egypt,131,1716,21,95006,48898,4951
2020-08-07,Egypt,141,1655,20,95147,50553,4971
2020-08-08,Egypt,167,1119,21,95314,51672,4992
2020-08-09,Egypt,178,1006,17,95492,52678,5009
2020-08-10,Egypt,174,1101,26,95666,53779,5035
2020-08-11,Egypt,168,1109,24,95834,54888,5059
2020-08-12,Egypt,129,1013,26,95963,55901,5085
2020-08-13,Egypt,145,989,22,96108,56890,5107
2020-08-14,Egypt,112,968,17,96220,57858,5124
2020-08-15,Egypt,116,977,17,96336,58835,5141
2020-08-16,Egypt,139,908,19,96475,59743,5160
2020-08-17,Egypt,115,908,13,96590,60651,5173
2020-08-18,Egypt,163,911,11,96753,61562,5184
2020-08-19,Egypt,161,991,13,96914,62553,5197
2020-08-20,Egypt,111,909,15,97025,63462,5212
2020-08-21,Egypt,123,856,19,97148,64318,5231
2020-08-22,Egypt,89,800,12,97237,65118,5243
2020-08-23,Egypt,103,809,19,97340,65927,5262
2020-08-24,Egypt,138,890,18,97478,66817,5280
2020-08-25,Egypt,141,900,18,97619,67717,5298
2020-08-26,Egypt,206,996,19,97825,68713,5317
2020-08-27,Egypt,237,899,25,98062,69612,5342
2020-08-28,Egypt,223,807,20,98285,70419,5362
2020-08-29,Egypt,212,883,14,98497,71302,5376
2020-08-30,Egypt,230,818,23,98727,72120,5399
2020-08-31,Egypt,212,809,22,98939,72929,5421
2020-09-01,Egypt,176,899,19,99115,73828,5440
2020-09-02,Egypt,165,798,21,99280,74626,5461
