Date,Country,Confirmed,Recovered,Deceased,Total_Confirmed,Total_Recovered,Total_Deceased
2020-01-23,El Salvador,0,0,0,0,0,0
2020-01-24,El Salvador,0,0,0,0,0,0
2020-01-25,El Salvador,0,0,0,0,0,0
2020-01-26,El Salvador,0,0,0,0,0,0
2020-01-27,El Salvador,0,0,0,0,0,0
2020-01-28,El Salvador,0,0,0,0,0,0
2020-01-29,El Salvador,0,0,0,0,0,0
2020-01-30,El Salvador,0,0,0,0,0,0
2020-01-31,El Salvador,0,0,0,0,0,0
2020-02-01,El Salvador,0,0,0,0,0,0
2020-02-02,El Salvador,0,0,0,0,0,0
2020-02-03,El Salvador,0,0,0,0,0,0
2020-02-04,El Salvador,0,0,0,0,0,0
2020-02-05,El Salvador,0,0,0,0,0,0
2020-02-06,El Salvador,0,0,0,0,0,0
2020-02-07,El Salvador,0,0,0,0,0,0
2020-02-08,El Salvador,0,0,0,0,0,0
2020-02-09,El Salvador,0,0,0,0,0,0
2020-02-10,El Salvador,0,0,0,0,0,0
2020-02-11,El Salvador,0,0,0,0,0,0
2020-02-12,El Salvador,0,0,0,0,0,0
2020-02-13,El Salvador,0,0,0,0,0,0
2020-02-14,El Salvador,0,0,0,0,0,0
2020-02-15,El Salvador,0,0,0,0,0,0
2020-02-16,El Salvador,0,0,0,0,0,0
2020-02-17,El Salvador,0,0,0,0,0,0
2020-02-18,El Salvador,0,0,0,0,0,0
2020-02-19,El Salvador,0,0,0,0,0,0
2020-02-20,El Salvador,0,0,0,0,0,0
2020-02-21,El Salvador,0,0,0,0,0,0
2020-02-22,El Salvador,0,0,0,0,0,0
2020-02-23,El Salvador,0,0,0,0,0,0
2020-02-24,El Salvador,0,0,0,0,0,0
2020-02-25,El Salvador,0,0,0,0,0,0
2020-02-26,El Salvador,0,0,0,0,0,0
2020-02-27,El Salvador,0,0,0,0,0,0
2020-02-28,El Salvador,0,0,0,0,0,0
2020-02-29,El Salvador,0,0,0,0,0,0
2020-03-01,El Salvador,0,0,0,0,0,0
2020-03-02,El Salvador,0,0,0,0,0,0
2020-03-03,El Salvador,0,0,0,0,0,0
2020-03-04,El Salvador,0,0,0,0,0,0
2020-03-05,El Salvador,0,0,0,0,0,0
2020-03-06,El Salvador,0,0,0,0,0,0
2020-03-07,El Salvador,0,0,0,0,0,0
2020-03-08,El Salvador,0,0,0,0,0,0
2020-03-09,El Salvador,0,0,0,0,0,0
2020-03-10,El Salvador,0,0,0,0,0,0
2020-03-11,El Salvador,0,0,0,0,0,0
2020-03-12,El Salvador,0,0,0,0,0,0
2020-03-13,El Salvador,0,0,0,0,0,0
2020-03-14,El Salvador,0,0,0,0,0,0
2020-03-15,El Salvador,0,0,0,0,0,0
2020-03-16,El Salvador,0,0,0,0,0,0
2020-03-17,El Salvador,0,0,0,0,0,0
2020-03-18,El Salvador,0,0,0,0,0,0
2020-03-19,El Salvador,1,0,0,1,0,0
2020-03-20,El Salvador,0,0,0,1,0,0
2020-03-21,El Salvador,2,0,0,3,0,0
2020-03-22,El Salvador,0,0,0,3,0,0
2020-03-23,El Salvador,0,0,0,3,0,0
2020-03-24,El Salvador,2,0,0,5,0,0
2020-03-25,El Salvador,4,0,0,9,0,0
2020-03-26,El Salvador,4,0,0,13,0,0
2020-03-27,El Salvador,0,0,0,13,0,0
2020-03-28,El Salvador,6,0,0,19,0,0
2020-03-29,El Salvador,5,0,0,24,0,0
2020-03-30,El Salvador,6,0,0,30,0,0
2020-03-31,El Salvador,2,0,1,32,0,1
2020-04-01,El Salvador,0,0,0,32,0,1
2020-04-02,El Salvador,9,0,1,41,0,2
2020-04-03,El Salvador,5,0,0,46,0,2
2020-04-04,El Salvador,10,2,1,56,2,3
2020-04-05,El Salvador,6,0,0,62,2,3
2020-04-06,El Salvador,7,3,1,69,5,4
2020-04-07,El Salvador,9,0,0,78,5,4
