Date,Country,Confirmed,Recovered,Deceased,Total_Confirmed,Total_Recovered,Total_Deceased
2020-01-23,Guatemala,0,0,0,0,0,0
2020-01-24,Guatemala,0,0,0,0,0,0
2020-01-25,Guatemala,0,0,0,0,0,0
2020-01-26,Guatemala,0,0,0,0,0,0
2020-01-27,Guatemala,0,0,0,0,0,0
2020-01-28,Guatemala,0,0,0,0,0,0
2020-01-29,Guatemala,0,0,0,0,0,0
2020-01-30,Guatemala,0,0,0,0,0,0
2020-01-31,Guatemala,0,0,0,0,0,0
2020-02-01,Guatemala,0,0,0,0,0,0
2020-02-02,Guatemala,0,0,0,0,0,0
2020-02-03,Guatemala,0,0,0,0,0,0
2020-02-04,Guatemala,0,0,0,0,0,0
2020-02-05,Guatemala,0,0,0,0,0,0
2020-02-06,Guatemala,0,0,0,0,0,0
2020-02-07,Guatemala,0,0,0,0,0,0
2020-02-08,Guatemala,0,0,0,0,0,0
2020-02-09,Guatemala,0,0,0,0,0,0
2020-02-10,Guatemala,0,0,0,0,0,0
2020-02-11,Guatemala,0,0,0,0,0,0
2020-02-12,Guatemala,0,0,0,0,0,0
2020-02-13,Guatemala,0,0,0,0,0,0
2020-02-14,Guatemala,0,0,0,0,0,0
2020-02-15,Guatemala,0,0,0,0,0,0
2020-02-16,Guatemala,0,0,0,0,0,0
2020-02-17,Guatemala,0,0,0,0,0,0
2020-02-18,Guatemala,0,0,0,0,0,0
2020-02-19,Guatemala,0,0,0,0,0,0
2020-02-20,Guatemala,0,0,0,0,0,0
2020-02-21,Guatemala,0,0,0,0,0,0
2020-02-22,Guatemala,0,0,0,0,0,0
2020-02-23,Guatemala,0,0,0,0,0,0
2020-02-24,Guatemala,0,0,0,0,0,0
2020-02-25,Guatemala,0,0,0,0,0,0
2020-02-26,Guatemala,0,0,0,0,0,0
2020-02-27,Guatemala,0,0,0,0,0,0
2020-02-28,Guatemala,0,0,0,0,0,0
2020-02-29,Guatemala,0,0,0,0,0,0
2020-03-01,Guatemala,0,0,0,0,0,0
2020-03-02,Guatemala,0,0,0,0,0,0
2020-03-03,Guatemala,0,0,0,0,0,0
2020-03-04,Guatemala,0,0,0,0,0,0
2020-03-05,Guatemala,0,0,0,0,0,0
2020-03-06,Guatemala,0,0,0,0,0,0
2020-03-07,Guatemala,0,0,0,0,0,0
2020-03-08,Guatemala,0,0,0,0,0,0
2020-03-09,Guatemala,0,0,0,0,0,0
2020-03-10,Guatemala,0,0,0,0,0,0
2020-03-11,Guatemala,0,0,0,0,0,0
2020-03-12,Guatemala,0,0,0,0,0,0
2020-03-13,Guatemala,0,0,0,0,0,0
2020-03-14,Guatemala,1,0,0,1,0,0
2020-03-15,Guatemala,0,0,0,1,0,0
2020-03-16,Guatemala,1,0,1,2,0,1
2020-03-17,Guatemala,4,0,0,6,0,1
2020-03-18,Guatemala,0,0,0,6,0,1
2020-03-19,Guatemala,3,0,0,9,0,1
2020-03-20,Guatemala,3,0,0,12,0,1
2020-03-21,Guatemala,5,0,0,17,0,1
2020-03-22,Guatemala,2,0,0,19,0,1
2020-03-23,Guatemala,1,0,0,20,0,1
2020-03-24,Guatemala,1,0,0,21,0,1
2020-03-25,Guatemala,3,4,0,24,4,1
2020-03-26,Guatemala,1,0,0,25,4,1
2020-03-27,Guatemala,3,0,0,28,4,1
2020-03-28,Guatemala,6,6,0,34,10,1
2020-03-29,Guatemala,0,0,0,34,10,1
2020-03-30,Guatemala,2,0,0,36,10,1
2020-03-31,Guatemala,2,2,0,38,12,1
2020-04-01,Guatemala,1,0,0,39,12,1
2020-04-02,Guatemala,8,0,0,47,12,1
2020-04-03,Guatemala,3,0,0,50,12,1
2020-04-04,Guatemala,11,3,1,61,15,2
2020-04-05,Guatemala,0,0,0,61,15,2
