Date,Country,Confirmed,Recovered,Deceased,Total_Confirmed,Total_Recovered,Total_Deceased
2020-01-23,Indonesia,0,0,0,0,0,0
2020-01-24,Indonesia,0,0,0,0,0,0
2020-01-25,Indonesia,0,0,0,0,0,0
2020-01-26,Indonesia,0,0,0,0,0,0
2020-01-27,Indonesia,0,0,0,0,0,0
2020-01-28,Indonesia,0,0,0,0,0,0
2020-01-29,Indonesia,0,0,0,0,0,0
2020-01-30,Indonesia,0,0,0,0,0,0
2020-01-31,Indonesia,0,0,0,0,0,0
2020-02-01,Indonesia,0,0,0,0,0,0
2020-02-02,Indonesia,0,0,0,0,0,0
2020-02-03,Indonesia,0,0,0,0,0,0
2020-02-04,Indonesia,0,0,0,0,0,0
2020-02-05,Indonesia,0,0,0,0,0,0
2020-02-06,Indonesia,0,0,0,0,0,0
2020-02-07,Indonesia,0,0,0,0,0,0
2020-02-08,Indonesia,0,0,0,0,0,0
2020-02-09,Indonesia,0,0,0,0,0,0
2020-02-10,Indonesia,0,0,0,0,0,0
2020-02-11,Indonesia,0,0,0,0,0,0
2020-02-12,Indonesia,0,0,0,0,0,0
2020-02-13,Indonesia,0,0,0,0,0,0
2020-02-14,Indonesia,0,0,0,0,0,0
2020-02-15,Indonesia,0,0,0,0,0,0
2020-02-16,Indonesia,0,0,0,0,0,0
2020-02-17,Indonesia,0,0,0,0,0,0
2020-02-18,Indonesia,0,0,0,0,0,0
2020-02-19,Indonesia,0,0,0,0,0,0
2020-02-20,Indonesia,0,0,0,0,0,0
2020-02-21,Indonesia,0,0,0,0,0,0
2020-02-22,Indonesia,0,0,0,0,0,0
2020-02-23,Indonesia,0,0,0,0,0,0
2020-02-24,Indonesia,0,0,0,0,0,0
2020-02-25,Indonesia,0,0,0,0,0,0
2020-02-26,Indonesia,0,0,0,0,0,0
2020-02-27,Indonesia,0,0,0,0,0,0
2020-02-28,Indonesia,0,0,0,0,0,0
2020-02-29,Indonesia,0,0,0,0,0,0
2020-03-01,Indonesia,0,0,0,0,0,0
2020-03-02,Indonesia,2,0,0,2,0,0
2020-03-03,Indonesia,0,0,0,2,0,0
2020-03-04,Indonesia,0,0,0,2,0,0
2020-03-05,Indonesia,0,0,0,2,0,0
2020-03-06,Indonesia,2,0,0,4,0,0
2020-03-07,Indonesia,0,0,0,4,0,0
2020-03-08,Indonesia,2,0,0,6,0,0
2020-03-09,Indonesia,13,0,0,19,0,0
2020-03-10,Indonesia,8,2,0,27,2,0
2020-03-11,Indonesia,7,0,1,34,2,1
2020-03-12,Indonesia,0,0,0,34,2,1
2020-03-13,Indonesia,35,0,3,69,2,4
2020-03-14,Indonesia,27,6,1,96,8,5
2020-03-15,Indonesia,21,0,0,117,8,5
2020-03-16,Indonesia,17,0,0,134,8,5
2020-03-17,Indonesia,38,0,0,172,8,5
2020-03-18,Indonesia,55,3,14,227,11,19
2020-03-19,Indonesia,84,0,6,311,11,25
2020-03-20,Indonesia,58,4,7,369,15,32
2020-03-21,Indonesia,81,0,6,450,15,38
2020-03-22,Indonesia,64,14,10,514,29,48
2020-03-23,Indonesia,65,0,1,579,29,49
2020-03-24,Indonesia,107,1,6,686,30,55
2020-03-25,Indonesia,104,1,3,790,31,58
2020-03-26,Indonesia,103,4,20,893,35,78
2020-03-27,Indonesia,153,11,9,1046,46,87
2020-03-28,Indonesia,109,13,15,1155,59,102
2020-03-29,Indonesia,130,5,12,1285,64,114
2020-03-30,Indonesia,129,11,8,1414,75,122
2020-03-31,Indonesia,114,6,14,1528,81,136
2020-04-01,Indonesia,149,22,21,1677,103,157
2020-04-02,Indonesia,113,9,13,1790,112,170
2020-04-03,Indonesia,196,22,11,1986,134,181
2020-04-04,Indonesia,106,16,10,2092,150,191
2020-04-05,Indonesia,181,14,7,2273,164,198
2020-04-06,Indonesia,218,28,11,2491,192,209
2020-04-07,Indonesia,247,12,12,2738,204,221
2020-04-08,Indonesia,218,18,19,2956,222,240
2020-04-09,Indonesia,337,30,40,3293,252,280
2020-04-10,Indonesia,219,30,26,3512,282,306
2020-04-11,Indonesia,330,4,21,3842,286,327
2020-04-12,Indonesia,399,73,46,4241,359,373
2020-04-13,Indonesia,316,21,26,4557,380,399
2020-04-14,Indonesia,282,46,60,4839,426,459
2020-04-15,Indonesia,297,20,10,5136,446,469
2020-04-16,Indonesia,380,102,27,5516,548,496
2020-04-17,Indonesia,407,59,24,5923,607,520
2020-04-18,Indonesia,325,24,15,6248,631,535
2020-04-19,Indonesia,327,55,47,6575,686,582
2020-04-20,Indonesia,185,61,8,6760,747,590
2020-04-21,Indonesia,375,95,26,7135,842,616
2020-04-22,Indonesia,283,71,19,7418,913,635
2020-04-23,Indonesia,357,47,12,7775,960,647
2020-04-24,Indonesia,436,42,42,8211,1002,689
2020-04-25,Indonesia,396,40,31,8607,1042,720
2020-04-26,Indonesia,275,65,23,8882,1107,743
2020-04-27,Indonesia,214,44,22,9096,1151,765
2020-04-28,Indonesia,415,103,8,9511,1254,773
2020-04-29,Indonesia,260,137,11,9771,1391,784
2020-04-30,Indonesia,347,131,8,10118,1522,792
2020-05-01,Indonesia,433,69,8,10551,1591,800
2020-05-02,Indonesia,292,74,31,10843,1665,831
2020-05-03,Indonesia,349,211,14,11192,1876,845
2020-05-04,Indonesia,395,78,19,11587,1954,864
2020-05-05,Indonesia,484,243,8,12071,2197,872
2020-05-06,Indonesia,367,120,23,12438,2317,895
2020-05-07,Indonesia,338,64,35,12776,2381,930
2020-05-08,Indonesia,336,113,13,13112,2494,943
2020-05-09,Indonesia,533,113,16,13645,2607,959
2020-05-10,Indonesia,387,91,14,14032,2698,973
2020-05-11,Indonesia,233,183,18,14265,2881,991
2020-05-12,Indonesia,484,182,16,14749,3063,1007
2020-05-13,Indonesia,689,224,21,15438,3287,1028
2020-05-14,Indonesia,568,231,15,16006,3518,1043
2020-05-15,Indonesia,490,285,33,16496,3803,1076
2020-05-16,Indonesia,529,108,13,17025,3911,1089
2020-05-17,Indonesia,489,218,59,17514,4129,1148
2020-05-18,Indonesia,496,195,43,18010,4324,1191
2020-05-19,Indonesia,486,143,30,18496,4467,1221
2020-05-20,Indonesia,693,108,21,19189,4575,1242
2020-05-21,Indonesia,973,263,36,20162,4838,1278
2020-05-22,Indonesia,634,219,48,20796,5057,1326
2020-05-23,Indonesia,949,192,25,21745,5249,1351
2020-05-24,Indonesia,526,153,21,22271,5402,1372
2020-05-25,Indonesia,479,240,19,22750,5642,1391
2020-05-26,Indonesia,415,235,27,23165,5877,1418
2020-05-27,Indonesia,686,180,55,23851,6057,1473
2020-05-28,Indonesia,687,183,23,24538,6240,1496
2020-05-29,Indonesia,678,252,24,25216,6492,1520
2020-05-30,Indonesia,557,523,53,25773,7015,1573
2020-05-31,Indonesia,700,293,40,26473,7308,1613
2020-06-01,Indonesia,467,329,28,26940,7637,1641
2020-06-02,Indonesia,609,298,22,27549,7935,1663
2020-06-03,Indonesia,684,471,35,28233,8406,1698
2020-06-04,Indonesia,585,486,23,28818,8892,1721
2020-06-05,Indonesia,703,551,49,29521,9443,1770
2020-06-06,Indonesia,993,464,31,30514,9907,1801
2020-06-07,Indonesia,672,591,50,31186,10498,1851
2020-06-08,Indonesia,847,406,32,32033,10904,1883
2020-06-09,Indonesia,1043,510,40,33076,11414,1923
2020-06-10,Indonesia,1240,715,36,34316,12129,1959
2020-06-11,Indonesia,979,507,41,35295,12636,2000
2020-06-12,Indonesia,1111,577,48,36406,13213,2048
2020-06-13,Indonesia,1014,563,43,37420,13776,2091
2020-06-14,Indonesia,857,755,43,38277,14531,2134
2020-06-15,Indonesia,1017,592,64,39294,15123,2198
2020-06-16,Indonesia,1106,580,33,40400,15703,2231
2020-06-17,Indonesia,1031,540,45,41431,16243,2276
2020-06-18,Indonesia,1331,555,63,42762,16798,2339
2020-06-19,Indonesia,1041,551,34,43803,17349,2373
2020-06-20,Indonesia,1226,534,56,45029,17883,2429
2020-06-21,Indonesia,862,521,36,45891,18404,2465
2020-06-22,Indonesia,954,331,35,46845,18735,2500
2020-06-23,Indonesia,1051,506,35,47896,19241,2535
