Date,Country,Confirmed,Recovered,Deceased,Total_Confirmed,Total_Recovered,Total_Deceased
2020-01-23,Japan,0,0,0,2,0,0
2020-01-24,Japan,0,0,0,2,0,0
2020-01-25,Japan,0,0,0,2,0,0
2020-01-26,Japan,2,1,0,4,1,0
2020-01-27,Japan,0,0,0,4,1,0
2020-01-28,Japan,3,0,0,7,1,0
2020-01-29,Japan,0,0,0,7,1,0
2020-01-30,Japan,4,0,0,11,1,0
2020-01-31,Japan,4,0,0,15,1,0
2020-02-01,Japan,5,0,0,20,1,0
2020-02-02,Japan,0,0,0,20,1,0
2020-02-03,Japan,0,0,0,20,1,0
2020-02-04,Japan,2,0,0,22,1,0
2020-02-05,Japan,1,0,0,23,1,0
2020-02-06,Japan,0,0,0,23,1,0
2020-02-07,Japan,0,0,0,23,1,0
2020-02-08,Japan,1,0,0,24,1,0
2020-02-09,Japan,0,0,0,24,1,0
2020-02-10,Japan,2,3,0,26,4,0
2020-02-11,Japan,1,5,0,27,9,0
2020-02-12,Japan,1,0,0,28,9,0
2020-02-13,Japan,5,0,1,33,9,1
2020-02-14,Japan,10,0,0,43,9,1
2020-02-15,Japan,11,3,0,54,12,1
2020-02-16,Japan,6,0,0,60,12,1
2020-02-17,Japan,7,0,0,67,12,1
2020-02-18,Japan,12,1,1,79,13,2
2020-02-19,Japan,6,5,0,85,18,2
2020-02-20,Japan,10,0,0,95,18,2
2020-02-21,Japan,17,4,0,112,22,2
2020-02-22,Japan,25,0,0,137,22,2
2020-02-23,Japan,12,0,0,149,22,2
2020-02-24,Japan,11,0,0,160,22,2
2020-02-25,Japan,13,0,1,173,22,3
2020-02-26,Japan,19,0,0,192,22,3
2020-02-27,Japan,26,0,1,218,22,4
2020-02-28,Japan,18,0,1,236,22,5
2020-02-29,Japan,9,10,1,245,32,6
2020-03-01,Japan,14,0,0,259,32,6
2020-03-02,Japan,19,0,0,278,32,6
2020-03-03,Japan,20,11,0,298,43,6
2020-03-04,Japan,35,0,1,333,43,7
2020-03-05,Japan,32,0,0,365,43,7
2020-03-06,Japan,55,3,0,420,46,7
2020-03-07,Japan,46,30,0,466,76,7
2020-03-08,Japan,33,0,1,499,76,8
2020-03-09,Japan,28,0,2,527,76,10
2020-03-10,Japan,58,25,3,585,101,13
2020-03-11,Japan,55,17,2,640,118,15
2020-03-12,Japan,56,0,4,696,118,19
2020-03-13,Japan,37,0,2,733,118,21
2020-03-14,Japan,62,0,1,795,118,22
2020-03-15,Japan,31,0,2,826,118,24
2020-03-16,Japan,17,26,6,843,144,30
2020-03-17,Japan,50,0,0,893,144,30
2020-03-18,Japan,35,0,2,928,144,32
2020-03-19,Japan,40,6,1,968,150,33
2020-03-20,Japan,54,41,1,1022,191,34
2020-03-21,Japan,37,41,2,1059,232,36
2020-03-22,Japan,45,3,4,1104,235,40
2020-03-23,Japan,40,0,1,1144,235,41
2020-03-24,Japan,73,50,1,1217,285,42
2020-03-25,Japan,97,25,3,1314,310,45
2020-03-26,Japan,102,49,2,1416,359,47
2020-03-27,Japan,114,13,6,1530,372,53
2020-03-28,Japan,198,32,3,1728,404,56
2020-03-29,Japan,179,20,7,1907,424,63
2020-03-30,Japan,94,0,2,2001,424,65
2020-03-31,Japan,254,0,2,2255,424,67
2020-04-01,Japan,280,48,5,2535,472,72
2020-04-02,Japan,283,0,3,2818,472,75
2020-04-03,Japan,336,42,6,3154,514,81
2020-04-04,Japan,371,0,6,3525,514,87
2020-04-05,Japan,351,0,6,3876,514,93
2020-04-06,Japan,234,61,3,4110,575,96
2020-04-07,Japan,375,17,2,4485,592,98
2020-04-08,Japan,535,30,7,5020,622,105
2020-04-09,Japan,594,10,8,5614,632,113
2020-04-10,Japan,636,53,12,6250,685,125
2020-04-11,Japan,701,77,13,6951,762,138
2020-04-12,Japan,522,0,9,7473,762,147
2020-04-13,Japan,300,22,9,7773,784,156
2020-04-14,Japan,504,15,14,8277,799,170
2020-04-15,Japan,558,54,16,8835,853,186
2020-04-16,Japan,563,48,18,9398,901,204
2020-04-17,Japan,560,34,13,9958,935,217
