Date,Country,Confirmed,Recovered,Deceased,Total_Confirmed,Total_Recovered,Total_Deceased
2020-01-23,Mexico,0,0,0,0,0,0
2020-01-24,Mexico,0,0,0,0,0,0
2020-01-25,Mexico,0,0,0,0,0,0
2020-01-26,Mexico,0,0,0,0,0,0
2020-01-27,Mexico,0,0,0,0,0,0
2020-01-28,Mexico,0,0,0,0,0,0
2020-01-29,Mexico,0,0,0,0,0,0
2020-01-30,Mexico,0,0,0,0,0,0
2020-01-31,Mexico,0,0,0,0,0,0
2020-02-01,Mexico,0,0,0,0,0,0
2020-02-02,Mexico,0,0,0,0,0,0
2020-02-03,Mexico,0,0,0,0,0,0
2020-02-04,Mexico,0,0,0,0,0,0
2020-02-05,Mexico,0,0,0,0,0,0
2020-02-06,Mexico,0,0,0,0,0,0
2020-02-07,Mexico,0,0,0,0,0,0
2020-02-08,Mexico,0,0,0,0,0,0
2020-02-09,Mexico,0,0,0,0,0,0
2020-02-10,Mexico,0,0,0,0,0,0
2020-02-11,Mexico,0,0,0,0,0,0
2020-02-12,Mexico,0,0,0,0,0,0
2020-02-13,Mexico,0,0,0,0,0,0
2020-02-14,Mexico,0,0,0,0,0,0
2020-02-15,Mexico,0,0,0,0,0,0
2020-02-16,Mexico,0,0,0,0,0,0
2020-02-17,Mexico,0,0,0,0,0,0
2020-02-18,Mexico,0,0,0,0,0,0
2020-02-19,Mexico,0,0,0,0,0,0
2020-02-20,Mexico,0,0,0,0,0,0
2020-02-21,Mexico,0,0,0,0,0,0
2020-02-22,Mexico,0,0,0,0,0,0
2020-02-23,Mexico,0,0,0,0,0,0
2020-02-24,Mexico,0,0,0,0,0,0
2020-02-25,Mexico,0,0,0,0,0,0
2020-02-26,Mexico,0,0,0,0,0,0
2020-02-27,Mexico,0,0,0,0,0,0
2020-02-28,Mexico,1,0,0,1,0,0
2020-02-29,Mexico,3,0,0,4,0,0
2020-03-01,Mexico,1,0,0,5,0,0
2020-03-02,Mexico,0,0,0,5,0,0
2020-03-03,Mexico,0,1,0,5,1,0
2020-03-04,Mexico,0,0,0,5,1,0
2020-03-05,Mexico,0,0,0,5,1,0
2020-03-06,Mexico,1,0,0,6,1,0
2020-03-07,Mexico,0,0,0,6,1,0
2020-03-08,Mexico,1,0,0,7,1,0
2020-03-09,Mexico,0,0,0,7,1,0
2020-03-10,Mexico,0,3,0,7,4,0
2020-03-11,Mexico,1,0,0,8,4,0
2020-03-12,Mexico,4,0,0,12,4,0
2020-03-13,Mexico,14,0,0,26,4,0
2020-03-14,Mexico,15,0,0,41,4,0
2020-03-15,Mexico,12,0,0,53,4,0
2020-03-16,Mexico,29,0,0,82,4,0
2020-03-17,Mexico,11,0,0,93,4,0
2020-03-18,Mexico,25,0,0,118,4,0
2020-03-19,Mexico,46,0,1,164,4,1
2020-03-20,Mexico,39,0,1,203,4,2
2020-03-21,Mexico,48,0,0,251,4,2
2020-03-22,Mexico,65,0,1,316,4,3
2020-03-23,Mexico,51,0,1,367,4,4
2020-03-24,Mexico,38,0,1,405,4,5
2020-03-25,Mexico,70,0,1,475,4,6
2020-03-26,Mexico,110,0,2,585,4,8
2020-03-27,Mexico,132,0,4,717,4,12
2020-03-28,Mexico,131,0,4,848,4,16
2020-03-29,Mexico,145,0,4,993,4,20
2020-03-30,Mexico,101,31,8,1094,35,28
2020-03-31,Mexico,121,0,1,1215,35,29
2020-04-01,Mexico,163,0,8,1378,35,37
2020-04-02,Mexico,132,0,13,1510,35,50
2020-04-03,Mexico,178,598,10,1688,633,60
2020-04-04,Mexico,202,0,19,1890,633,79
2020-04-05,Mexico,253,0,15,2143,633,94
2020-04-06,Mexico,296,0,31,2439,633,125
2020-04-07,Mexico,346,0,16,2785,633,141
2020-04-08,Mexico,396,0,33,3181,633,174
2020-04-09,Mexico,260,0,20,3441,633,194
2020-04-10,Mexico,403,0,39,3844,633,233
2020-04-11,Mexico,375,0,40,4219,633,273
2020-04-12,Mexico,442,1139,23,4661,1772,296
2020-04-13,Mexico,353,71,36,5014,1843,332
2020-04-14,Mexico,385,121,74,5399,1964,406
2020-04-15,Mexico,448,161,43,5847,2125,449
2020-04-16,Mexico,450,0,37,6297,2125,486
2020-04-17,Mexico,578,0,60,6875,2125,546
2020-04-18,Mexico,622,0,104,7497,2125,650
2020-04-19,Mexico,764,502,36,8261,2627,686
2020-04-20,Mexico,511,0,26,8772,2627,712
2020-04-21,Mexico,729,0,145,9501,2627,857
2020-04-22,Mexico,1043,0,113,10544,2627,970
2020-04-23,Mexico,1089,0,99,11633,2627,1069
2020-04-24,Mexico,1239,0,152,12872,2627,1221
2020-04-25,Mexico,970,4522,84,13842,7149,1305
2020-04-26,Mexico,835,1205,46,14677,8354,1351
2020-04-27,Mexico,852,732,83,15529,9086,1434
2020-04-28,Mexico,1223,2337,135,16752,11423,1569
2020-04-29,Mexico,1047,0,163,17799,11423,1732
2020-04-30,Mexico,1425,0,127,19224,11423,1859
2020-05-01,Mexico,1515,954,113,20739,12377,1972
2020-05-02,Mexico,1349,0,89,22088,12377,2061
2020-05-03,Mexico,1383,1070,93,23471,13447,2154
2020-05-04,Mexico,1434,0,117,24905,13447,2271
2020-05-05,Mexico,1120,3363,236,26025,16810,2507
2020-05-06,Mexico,1609,971,197,27634,17781,2704
2020-05-07,Mexico,1982,0,257,29616,17781,2961
2020-05-08,Mexico,1906,2533,199,31522,20314,3160
2020-05-09,Mexico,1938,1510,193,33460,21824,3353
2020-05-10,Mexico,1562,0,112,35022,21824,3465
2020-05-11,Mexico,1305,1276,108,36327,23100,3573
2020-05-12,Mexico,1997,2835,353,38324,25935,3926
2020-05-13,Mexico,1862,1055,294,40186,26990,4220
2020-05-14,Mexico,2409,1485,257,42595,28475,4477
2020-05-15,Mexico,2437,1976,290,45032,30451,4767
2020-05-16,Mexico,2112,1397,278,47144,31848,5045
2020-05-17,Mexico,2075,1481,132,49219,33329,5177
2020-05-18,Mexico,2414,2059,155,51633,35388,5332
2020-05-19,Mexico,2713,1937,334,54346,37325,5666
2020-05-20,Mexico,2248,1094,424,56594,38419,6090
2020-05-21,Mexico,2973,1733,420,59567,40152,6510
2020-05-22,Mexico,2960,2039,479,62527,42191,6989
2020-05-23,Mexico,3329,2233,190,65856,44424,7179
2020-05-24,Mexico,2764,2555,215,68620,46979,7394
2020-05-25,Mexico,2485,2473,239,71105,49452,7633
2020-05-26,Mexico,3455,2256,501,74560,51708,8134
2020-05-27,Mexico,3463,2126,463,78023,53834,8597
2020-05-28,Mexico,3377,2207,447,81400,56041,9044
2020-05-29,Mexico,3227,2962,371,84627,59003,9415
2020-05-30,Mexico,2885,2244,364,87512,61247,9779
2020-05-31,Mexico,3152,2525,151,90664,63772,9930
