Date,Country,Confirmed,Recovered,Deceased,Total_Confirmed,Total_Recovered,Total_Deceased
2020-01-23,Panama,0,0,0,0,0,0
2020-01-24,Panama,0,0,0,0,0,0
2020-01-25,Panama,0,0,0,0,0,0
2020-01-26,Panama,0,0,0,0,0,0
2020-01-27,Panama,0,0,0,0,0,0
2020-01-28,Panama,0,0,0,0,0,0
2020-01-29,Panama,0,0,0,0,0,0
2020-01-30,Panama,0,0,0,0,0,0
2020-01-31,Panama,0,0,0,0,0,0
2020-02-01,Panama,0,0,0,0,0,0
2020-02-02,Panama,0,0,0,0,0,0
2020-02-03,Panama,0,0,0,0,0,0
2020-02-04,Panama,0,0,0,0,0,0
2020-02-05,Panama,0,0,0,0,0,0
2020-02-06,Panama,0,0,0,0,0,0
2020-02-07,Panama,0,0,0,0,0,0
2020-02-08,Panama,0,0,0,0,0,0
2020-02-09,Panama,0,0,0,0,0,0
2020-02-10,Panama,0,0,0,0,0,0
2020-02-11,Panama,0,0,0,0,0,0
2020-02-12,Panama,0,0,0,0,0,0
2020-02-13,Panama,0,0,0,0,0,0
2020-02-14,Panama,0,0,0,0,0,0
2020-02-15,Panama,0,0,0,0,0,0
2020-02-16,Panama,0,0,0,0,0,0
2020-02-17,Panama,0,0,0,0,0,0
2020-02-18,Panama,0,0,0,0,0,0
2020-02-19,Panama,0,0,0,0,0,0
2020-02-20,Panama,0,0,0,0,0,0
2020-02-21,Panama,0,0,0,0,0,0
2020-02-22,Panama,0,0,0,0,0,0
2020-02-23,Panama,0,0,0,0,0,0
2020-02-24,Panama,0,0,0,0,0,0
2020-02-25,Panama,0,0,0,0,0,0
2020-02-26,Panama,0,0,0,0,0,0
2020-02-27,Panama,0,0,0,0,0,0
2020-02-28,Panama,0,0,0,0,0,0
2020-02-29,Panama,0,0,0,0,0,0
2020-03-01,Panama,0,0,0,0,0,0
2020-03-02,Panama,0,0,0,0,0,0
2020-03-03,Panama,0,0,0,0,0,0
2020-03-04,Panama,0,0,0,0,0,0
2020-03-05,Panama,0,0,0,0,0,0
2020-03-06,Panama,0,0,0,0,0,0
2020-03-07,Panama,0,0,0,0,0,0
