Date,Country,Confirmed,Recovered,Deceased,Total_Confirmed,Total_Recovered,Total_Deceased
2020-01-23,Russia,0,0,0,0,0,0
2020-01-24,Russia,0,0,0,0,0,0
2020-01-25,Russia,0,0,0,0,0,0
2020-01-26,Russia,0,0,0,0,0,0
2020-01-27,Russia,0,0,0,0,0,0
2020-01-28,Russia,0,0,0,0,0,0
2020-01-29,Russia,0,0,0,0,0,0
2020-01-30,Russia,0,0,0,0,0,0
2020-01-31,Russia,2,0,0,2,0,0
2020-02-01,Russia,0,0,0,2,0,0
2020-02-02,Russia,0,0,0,2,0,0
2020-02-03,Russia,0,0,0,2,0,0
2020-02-04,Russia,0,0,0,2,0,0
2020-02-05,Russia,0,0,0,2,0,0
2020-02-06,Russia,0,0,0,2,0,0
2020-02-07,Russia,0,0,0,2,0,0
2020-02-08,Russia,0,0,0,2,0,0
2020-02-09,Russia,0,0,0,2,0,0
2020-02-10,Russia,0,0,0,2,0,0
2020-02-11,Russia,0,0,0,2,0,0
2020-02-12,Russia,0,2,0,2,2,0
2020-02-13,Russia,0,0,0,2,2,0
2020-02-14,Russia,0,0,0,2,2,0
2020-02-15,Russia,0,0,0,2,2,0
2020-02-16,Russia,0,0,0,2,2,0
2020-02-17,Russia,0,0,0,2,2,0
2020-02-18,Russia,0,0,0,2,2,0
2020-02-19,Russia,0,0,0,2,2,0
2020-02-20,Russia,0,0,0,2,2,0
2020-02-21,Russia,0,0,0,2,2,0
2020-02-22,Russia,0,0,0,2,2,0
2020-02-23,Russia,0,0,0,2,2,0
2020-02-24,Russia,0,0,0,2,2,0
2020-02-25,Russia,0,0,0,2,2,0
2020-02-26,Russia,0,0,0,2,2,0
2020-02-27,Russia,0,0,0,2,2,0
2020-02-28,Russia,0,0,0,2,2,0
2020-02-29,Russia,0,0,0,2,2,0
2020-03-01,Russia,0,0,0,2,2,0
2020-03-02,Russia,1,0,0,3,2,0
2020-03-03,Russia,0,0,0,3,2,0
2020-03-04,Russia,0,0,0,3,2,0
2020-03-05,Russia,1,0,0,4,2,0
2020-03-06,Russia,9,0,0,13,2,0
2020-03-07,Russia,0,0,0,13,2,0
2020-03-08,Russia,4,1,0,17,3,0
2020-03-09,Russia,0,0,0,17,3,0
2020-03-10,Russia,3,0,0,20,3,0
2020-03-11,Russia,0,0,0,20,3,0
2020-03-12,Russia,8,0,0,28,3,0
2020-03-13,Russia,17,0,0,45,3,0
2020-03-14,Russia,14,5,0,59,8,0
2020-03-15,Russia,4,0,0,63,8,0
2020-03-16,Russia,27,0,0,90,8,0
2020-03-17,Russia,24,0,0,114,8,0
2020-03-18,Russia,33,0,0,147,8,0
2020-03-19,Russia,52,1,1,199,9,1
2020-03-20,Russia,54,0,0,253,9,1
2020-03-21,Russia,53,3,0,306,12,1
2020-03-22,Russia,61,4,0,367,16,1
