Date,Country,Confirmed,Recovered,Deceased,Total_Confirmed,Total_Recovered,Total_Deceased
2020-01-23,Slovakia,0,0,0,0,0,0
2020-01-24,Slovakia,0,0,0,0,0,0
2020-01-25,Slovakia,0,0,0,0,0,0
2020-01-26,Slovakia,0,0,0,0,0,0
2020-01-27,Slovakia,0,0,0,0,0,0
2020-01-28,Slovakia,0,0,0,0,0,0
2020-01-29,Slovakia,0,0,0,0,0,0
2020-01-30,Slovakia,0,0,0,0,0,0
2020-01-31,Slovakia,0,0,0,0,0,0
2020-02-01,Slovakia,0,0,0,0,0,0
2020-02-02,Slovakia,0,0,0,0,0,0
2020-02-03,Slovakia,0,0,0,0,0,0
2020-02-04,Slovakia,0,0,0,0,0,0
2020-02-05,Slovakia,0,0,0,0,0,0
2020-02-06,Slovakia,0,0,0,0,0,0
2020-02-07,Slovakia,0,0,0,0,0,0
2020-02-08,Slovakia,0,0,0,0,0,0
2020-02-09,Slovakia,0,0,0,0,0,0
2020-02-10,Slovakia,0,0,0,0,0,0
2020-02-11,Slovakia,0,0,0,0,0,0
2020-02-12,Slovakia,0,0,0,0,0,0
2020-02-13,Slovakia,0,0,0,0,0,0
2020-02-14,Slovakia,0,0,0,0,0,0
2020-02-15,Slovakia,0,0,0,0,0,0
2020-02-16,Slovakia,0,0,0,0,0,0
2020-02-17,Slovakia,0,0,0,0,0,0
2020-02-18,Slovakia,0,0,0,0,0,0
2020-02-19,Slovakia,0,0,0,0,0,0
2020-02-20,Slovakia,0,0,0,0,0,0
2020-02-21,Slovakia,0,0,0,0,0,0
2020-02-22,Slovakia,0,0,0,0,0,0
2020-02-23,Slovakia,0,0,0,0,0,0
2020-02-24,Slovakia,0,0,0,0,0,0
2020-02-25,Slovakia,0,0,0,0,0,0
2020-02-26,Slovakia,0,0,0,0,0,0
2020-02-27,Slovakia,0,0,0,0,0,0
2020-02-28,Slovakia,0,0,0,0,0,0
2020-02-29,Slovakia,0,0,0,0,0,0
2020-03-01,Slovakia,0,0,0,0,0,0
2020-03-02,Slovakia,0,0,0,0,0,0
2020-03-03,Slovakia,0,0,0,0,0,0
2020-03-04,Slovakia,0,0,0,0,0,0
2020-03-05,Slovakia,0,0,0,0,0,0
2020-03-06,Slovakia,1,0,0,1,0,0
2020-03-07,Slovakia,0,0,0,1,0,0
2020-03-08,Slovakia,2,0,0,3,0,0
2020-03-09,Slovakia,0,0,0,3,0,0
2020-03-10,Slovakia,4,0,0,7,0,0
2020-03-11,Slovakia,3,0,0,10,0,0
2020-03-12,Slovakia,6,0,0,16,0,0
2020-03-13,Slovakia,16,0,0,32,0,0
2020-03-14,Slovakia,12,0,0,44,0,0
2020-03-15,Slovakia,10,0,0,54,0,0
2020-03-16,Slovakia,9,0,0,63,0,0
2020-03-17,Slovakia,9,0,0,72,0,0
2020-03-18,Slovakia,33,0,1,105,0,1
2020-03-19,Slovakia,18,0,0,123,0,1
2020-03-20,Slovakia,14,0,0,137,0,1
2020-03-21,Slovakia,41,0,0,178,0,1
2020-03-22,Slovakia,7,7,-1,185,7,0
2020-03-23,Slovakia,1,0,0,186,7,0
2020-03-24,Slovakia,18,0,0,204,7,0
2020-03-25,Slovakia,12,0,0,216,7,0
2020-03-26,Slovakia,10,-5,0,226,2,0
2020-03-27,Slovakia,43,0,0,269,2,0
2020-03-28,Slovakia,23,0,0,292,2,0
2020-03-29,Slovakia,22,0,0,314,2,0
2020-03-30,Slovakia,22,5,0,336,7,0
2020-03-31,Slovakia,27,-4,0,363,3,0
2020-04-01,Slovakia,37,0,1,400,3,1
2020-04-02,Slovakia,26,2,0,426,5,1
2020-04-03,Slovakia,24,5,0,450,10,1
2020-04-04,Slovakia,21,0,0,471,10,1
2020-04-05,Slovakia,14,0,0,485,10,1
2020-04-06,Slovakia,49,-2,1,534,8,2
2020-04-07,Slovakia,47,5,0,581,13,2
2020-04-08,Slovakia,101,3,0,682,16,2
2020-04-09,Slovakia,19,7,0,701,23,2
2020-04-10,Slovakia,14,0,0,715,23,2
2020-04-11,Slovakia,13,0,0,728,23,2
2020-04-12,Slovakia,14,0,0,742,23,2
2020-04-13,Slovakia,27,84,0,769,107,2
2020-04-14,Slovakia,66,6,0,835,113,2
2020-04-15,Slovakia,28,38,4,863,151,6
2020-04-16,Slovakia,114,16,2,977,167,8
2020-04-17,Slovakia,72,8,1,1049,175,9
2020-04-18,Slovakia,40,38,2,1089,213,11
2020-04-19,Slovakia,72,16,1,1161,229,12
2020-04-20,Slovakia,12,22,1,1173,251,13
2020-04-21,Slovakia,26,7,1,1199,258,14
2020-04-22,Slovakia,45,26,0,1244,284,14
2020-04-23,Slovakia,81,4,1,1325,288,15
2020-04-24,Slovakia,35,67,2,1360,355,17
2020-04-25,Slovakia,13,31,0,1373,386,17
2020-04-26,Slovakia,6,8,1,1379,394,18
2020-04-27,Slovakia,2,9,0,1381,403,18
2020-04-28,Slovakia,3,20,2,1384,423,20
2020-04-29,Slovakia,7,61,2,1391,484,22
2020-04-30,Slovakia,5,40,1,1396,524,23
2020-05-01,Slovakia,7,34,0,1403,558,23
2020-05-02,Slovakia,4,50,1,1407,608,24
2020-05-03,Slovakia,1,11,0,1408,619,24
2020-05-04,Slovakia,5,24,1,1413,643,25
2020-05-05,Slovakia,8,98,0,1421,741,25
2020-05-06,Slovakia,8,21,0,1429,762,25
2020-05-07,Slovakia,16,44,1,1445,806,26
2020-05-08,Slovakia,10,99,0,1455,905,26
2020-05-09,Slovakia,0,14,0,1455,919,26
2020-05-10,Slovakia,2,22,0,1457,941,26
2020-05-11,Slovakia,0,18,0,1457,959,26
2020-05-12,Slovakia,8,24,1,1465,983,27
2020-05-13,Slovakia,4,77,0,1469,1060,27
2020-05-14,Slovakia,8,52,0,1477,1112,27
2020-05-15,Slovakia,3,19,0,1480,1131,27
2020-05-16,Slovakia,13,20,1,1493,1151,28
2020-05-17,Slovakia,1,12,0,1494,1163,28
2020-05-18,Slovakia,1,22,0,1495,1185,28
2020-05-19,Slovakia,0,7,0,1495,1192,28
2020-05-20,Slovakia,1,39,0,1496,1231,28
2020-05-21,Slovakia,6,14,0,1502,1245,28
2020-05-22,Slovakia,1,11,0,1503,1256,28
2020-05-23,Slovakia,1,24,0,1504,1280,28
2020-05-24,Slovakia,5,21,0,1509,1301,28
2020-05-25,Slovakia,2,6,0,1511,1307,28
2020-05-26,Slovakia,2,15,0,1513,1322,28
2020-05-27,Slovakia,2,5,0,1515,1327,28
2020-05-28,Slovakia,5,5,0,1520,1332,28
2020-05-29,Slovakia,0,6,0,1520,1338,28
2020-05-30,Slovakia,1,18,0,1521,1356,28
2020-05-31,Slovakia,0,10,0,1521,1366,28
2020-06-01,Slovakia,1,2,0,1522,1368,28
2020-06-02,Slovakia,0,4,0,1522,1372,28
2020-06-03,Slovakia,3,3,0,1525,1375,28
2020-06-04,Slovakia,1,1,0,1526,1376,28
2020-06-05,Slovakia,0,3,0,1526,1379,28
2020-06-06,Slovakia,2,0,0,1528,1379,28
2020-06-07,Slovakia,0,10,0,1528,1389,28
2020-06-08,Slovakia,2,7,0,1530,1396,28
2020-06-09,Slovakia,1,6,0,1531,1402,28
2020-06-10,Slovakia,2,2,0,1533,1404,28
2020-06-11,Slovakia,8,5,0,1541,1409,28
2020-06-12,Slovakia,1,0,0,1542,1409,28
2020-06-13,Slovakia,3,1,0,1545,1410,28
2020-06-14,Slovakia,3,0,0,1548,1410,28
2020-06-15,Slovakia,4,0,0,1552,1410,28
2020-06-16,Slovakia,0,16,0,1552,1426,28
2020-06-17,Slovakia,9,11,0,1561,1437,28
2020-06-18,Slovakia,1,6,0,1562,1443,28
2020-06-19,Slovakia,14,4,0,1576,1447,28
2020-06-20,Slovakia,10,0,0,1586,1447,28
2020-06-21,Slovakia,1,0,0,1587,1447,28
2020-06-22,Slovakia,1,0,0,1588,1447,28
2020-06-23,Slovakia,1,1,0,1589,1448,28
2020-06-24,Slovakia,18,0,0,1607,1448,28
2020-06-25,Slovakia,23,4,0,1630,1452,28
2020-06-26,Slovakia,13,3,0,1643,1455,28
2020-06-27,Slovakia,14,0,0,1657,1455,28
2020-06-28,Slovakia,7,6,0,1664,1461,28
2020-06-29,Slovakia,1,3,0,1665,1464,28
2020-06-30,Slovakia,2,0,0,1667,1464,28
2020-07-01,Slovakia,20,2,0,1687,1466,28
2020-07-02,Slovakia,13,0,0,1700,1466,28
2020-07-03,Slovakia,20,0,0,1720,1466,28
2020-07-04,Slovakia,29,0,0,1749,1466,28
2020-07-05,Slovakia,15,0,0,1764,1466,28
2020-07-06,Slovakia,1,0,0,1765,1466,28
2020-07-07,Slovakia,2,7,0,1767,1473,28
2020-07-08,Slovakia,31,0,0,1798,1473,28
2020-07-09,Slovakia,53,4,0,1851,1477,28
2020-07-10,Slovakia,19,4,0,1870,1481,28
2020-07-11,Slovakia,23,12,0,1893,1493,28
2020-07-12,Slovakia,8,0,0,1901,1493,28
2020-07-13,Slovakia,1,0,0,1902,1493,28
2020-07-14,Slovakia,6,0,0,1908,1493,28
2020-07-15,Slovakia,19,14,0,1927,1507,28
2020-07-16,Slovakia,24,7,0,1951,1514,28
2020-07-17,Slovakia,14,9,0,1965,1523,28
2020-07-18,Slovakia,11,0,0,1976,1523,28
2020-07-19,Slovakia,3,7,0,1979,1530,28
2020-07-20,Slovakia,1,8,0,1980,1538,28
2020-07-21,Slovakia,41,0,0,2021,1538,28
2020-07-22,Slovakia,37,18,0,2058,1556,28
2020-07-23,Slovakia,31,0,0,2089,1556,28
2020-07-24,Slovakia,29,21,0,2118,1577,28
2020-07-25,Slovakia,23,0,0,2141,1577,28
2020-07-26,Slovakia,38,0,0,2179,1577,28
2020-07-27,Slovakia,2,39,0,2181,1616,28
2020-07-28,Slovakia,23,28,0,2204,1644,28
2020-07-29,Slovakia,41,16,0,2245,1660,28
2020-07-30,Slovakia,20,15,0,2265,1675,28
2020-07-31,Slovakia,27,20,1,2292,1695,29
2020-08-01,Slovakia,45,47,0,2337,1742,29
2020-08-02,Slovakia,7,0,0,2344,1742,29
2020-08-03,Slovakia,10,4,0,2354,1746,29
2020-08-04,Slovakia,14,25,0,2368,1771,29
2020-08-05,Slovakia,49,6,0,2417,1777,29
2020-08-06,Slovakia,63,47,0,2480,1824,29
2020-08-07,Slovakia,43,22,2,2523,1846,31
2020-08-08,Slovakia,43,15,0,2566,1861,31
2020-08-09,Slovakia,30,3,0,2596,1864,31
2020-08-10,Slovakia,3,2,0,2599,1866,31
2020-08-11,Slovakia,16,8,0,2615,1874,31
2020-08-12,Slovakia,75,10,0,2690,1884,31
2020-08-13,Slovakia,49,55,0,2739,1939,31
2020-08-14,Slovakia,62,5,0,2801,1944,31
2020-08-15,Slovakia,54,25,0,2855,1969,31
2020-08-16,Slovakia,47,0,0,2902,1969,31
2020-08-17,Slovakia,5,0,0,2907,1969,31
2020-08-18,Slovakia,15,11,0,2922,1980,31
2020-08-19,Slovakia,100,17,2,3022,1997,33
2020-08-20,Slovakia,80,17,0,3102,2014,33
2020-08-21,Slovakia,123,31,0,3225,2045,33
2020-08-22,Slovakia,91,102,0,3316,2147,33
2020-08-23,Slovakia,40,1,0,3356,2148,33
2020-08-24,Slovakia,68,5,0,3424,2153,33
2020-08-25,Slovakia,28,14,0,3452,2167,33
2020-08-26,Slovakia,84,25,0,3536,2192,33
2020-08-27,Slovakia,90,14,0,3626,2206,33
2020-08-28,Slovakia,102,19,0,3728,2225,33
2020-08-29,Slovakia,114,29,0,3842,2254,33
2020-08-30,Slovakia,34,24,0,3876,2278,33
2020-08-31,Slovakia,41,99,0,3917,2377,33
2020-09-01,Slovakia,72,101,0,3989,2478,33
2020-09-02,Slovakia,53,45,0,4042,2523,33
2020-09-03,Slovakia,121,94,4,4163,2617,37
2020-09-04,Slovakia,137,76,0,4300,2693,37
2020-09-05,Slovakia,226,104,0,4526,2797,37
2020-09-06,Slovakia,88,5,0,4614,2802,37
2020-09-07,Slovakia,22,34,0,4636,2836,37
2020-09-08,Slovakia,91,77,0,4727,2913,37
2020-09-09,Slovakia,161,34,0,4888,2947,37
2020-09-10,Slovakia,178,54,0,5066,3001,37
2020-09-11,Slovakia,186,80,0,5252,3081,37
2020-09-12,Slovakia,201,33,1,5453,3114,38
2020-09-13,Slovakia,79,10,0,5532,3124,38
2020-09-14,Slovakia,48,5,0,5580,3129,38
2020-09-15,Slovakia,188,85,0,5768,3214,38
2020-09-16,Slovakia,92,6,0,5860,3220,38
2020-09-17,Slovakia,161,68,1,6021,3288,39
2020-09-18,Slovakia,235,102,0,6256,3390,39
2020-09-19,Slovakia,290,129,0,6546,3519,39
2020-09-20,Slovakia,131,29,0,6677,3548,39
2020-09-21,Slovakia,79,23,0,6756,3571,39
2020-09-22,Slovakia,175,97,1,6931,3668,40
2020-09-23,Slovakia,338,220,1,7269,3888,41
2020-09-24,Slovakia,360,90,0,7629,3978,41
2020-09-25,Slovakia,419,58,0,8048,4036,41
2020-09-26,Slovakia,552,62,3,8600,4098,44
2020-09-27,Slovakia,478,80,0,9078,4178,44
2020-09-28,Slovakia,265,35,0,9343,4213,44
2020-09-29,Slovakia,231,116,1,9574,4329,45
2020-09-30,Slovakia,567,66,3,10141,4395,48
2020-10-01,Slovakia,797,225,0,10938,4620,48
2020-10-02,Slovakia,679,136,6,11617,4756,54
2020-10-03,Slovakia,704,37,0,12321,4793,54
2020-10-04,Slovakia,818,35,1,13139,4828,55
2020-10-05,Slovakia,353,37,0,13492,4865,55
2020-10-06,Slovakia,320,162,0,13812,5027,55
2020-10-07,Slovakia,877,173,0,14689,5200,55
2020-10-08,Slovakia,1037,153,2,15726,5353,57
2020-10-09,Slovakia,1184,99,0,16910,5452,57
2020-10-10,Slovakia,1887,101,4,18797,5553,61
2020-10-11,Slovakia,1054,78,0,19851,5631,61
2020-10-12,Slovakia,504,400,0,20355,6031,61
2020-10-13,Slovakia,531,357,0,20886,6388,61
2020-10-14,Slovakia,1410,321,5,22296,6709,66
2020-10-15,Slovakia,1929,217,5,24225,6926,71
2020-10-16,Slovakia,2075,256,0,26300,7182,71
2020-10-17,Slovakia,1968,115,11,28268,7297,82
2020-10-18,Slovakia,1567,62,6,29835,7359,88
2020-10-19,Slovakia,860,177,4,30695,7536,92
2020-10-20,Slovakia,705,468,6,31400,8004,98
2020-10-21,Slovakia,2202,400,0,33602,8404,98
2020-10-22,Slovakia,1728,359,17,35330,8763,115
2020-10-23,Slovakia,2581,96,19,37911,8859,134
2020-10-24,Slovakia,2890,1061,25,40801,9920,159
2020-10-25,Slovakia,3042,40,0,43843,9960,159
2020-10-26,Slovakia,1312,170,6,45155,10130,165
2020-10-27,Slovakia,901,878,11,46056,11008,176
2020-10-28,Slovakia,2887,791,8,48943,11799,184
2020-10-29,Slovakia,2785,428,16,51728,12227,200
