Date,Country,Confirmed,Recovered,Deceased,Total_Confirmed,Total_Recovered,Total_Deceased
2020-01-23,Spain,0,0,0,0,0,0
2020-01-24,Spain,0,0,0,0,0,0
2020-01-25,Spain,0,0,0,0,0,0
2020-01-26,Spain,0,0,0,0,0,0
2020-01-27,Spain,0,0,0,0,0,0
2020-01-28,Spain,0,0,0,0,0,0
2020-01-29,Spain,0,0,0,0,0,0
2020-01-30,Spain,0,0,0,0,0,0
2020-01-31,Spain,0,0,0,0,0,0
2020-02-01,Spain,1,0,0,1,0,0
2020-02-02,Spain,0,0,0,1,0,0
2020-02-03,Spain,0,0,0,1,0,0
2020-02-04,Spain,0,0,0,1,0,0
2020-02-05,Spain,0,0,0,1,0,0
2020-02-06,Spain,0,0,0,1,0,0
2020-02-07,Spain,0,0,0,1,0,0
2020-02-08,Spain,0,0,0,1,0,0
2020-02-09,Spain,1,0,0,2,0,0
2020-02-10,Spain,0,0,0,2,0,0
2020-02-11,Spain,0,0,0,2,0,0
2020-02-12,Spain,0,0,0,2,0,0
2020-02-13,Spain,0,0,0,2,0,0
2020-02-14,Spain,0,0,0,2,0,0
2020-02-15,Spain,0,2,0,2,2,0
2020-02-16,Spain,0,0,0,2,2,0
2020-02-17,Spain,0,0,0,2,2,0
2020-02-18,Spain,0,0,0,2,2,0
2020-02-19,Spain,0,0,0,2,2,0
2020-02-20,Spain,0,0,0,2,2,0
2020-02-21,Spain,0,0,0,2,2,0
2020-02-22,Spain,0,0,0,2,2,0
2020-02-23,Spain,0,0,0,2,2,0
2020-02-24,Spain,0,0,0,2,2,0
2020-02-25,Spain,4,0,0,6,2,0
2020-02-26,Spain,7,0,0,13,2,0
2020-02-27,Spain,2,0,0,15,2,0
2020-02-28,Spain,17,0,0,32,2,0
2020-02-29,Spain,13,0,0,45,2,0
2020-03-01,Spain,39,0,0,84,2,0
2020-03-02,Spain,36,0,0,120,2,0
2020-03-03,Spain,45,0,1,165,2,1
2020-03-04,Spain,57,0,1,222,2,2
2020-03-05,Spain,37,0,1,259,2,3
2020-03-06,Spain,141,0,2,400,2,5
2020-03-07,Spain,100,28,5,500,30,10
2020-03-08,Spain,173,0,7,673,30,17
2020-03-09,Spain,400,2,11,1073,32,28
2020-03-10,Spain,622,0,7,1695,32,35
2020-03-11,Spain,582,151,19,2277,183,54
2020-03-12,Spain,0,0,1,2277,183,55
2020-03-13,Spain,2955,10,78,5232,193,133
2020-03-14,Spain,1159,324,62,6391,517,195
2020-03-15,Spain,1407,0,94,7798,517,289
2020-03-16,Spain,2144,13,53,9942,530,342
2020-03-17,Spain,1806,498,191,11748,1028,533
2020-03-18,Spain,2162,53,90,13910,1081,623
2020-03-19,Spain,4053,26,207,17963,1107,830
2020-03-20,Spain,2447,481,213,20410,1588,1043
2020-03-21,Spain,4964,537,332,25374,2125,1375
2020-03-22,Spain,3394,450,397,28768,2575,1772
2020-03-23,Spain,6368,0,539,35136,2575,2311
2020-03-24,Spain,4749,1219,497,39885,3794,2808
2020-03-25,Spain,9630,1573,839,49515,5367,3647
2020-03-26,Spain,8271,1648,718,57786,7015,4365
2020-03-27,Spain,7933,2342,773,65719,9357,5138
2020-03-28,Spain,7516,2928,844,73235,12285,5982
2020-03-29,Spain,6875,2424,821,80110,14709,6803
2020-03-30,Spain,7846,2071,913,87956,16780,7716
2020-03-31,Spain,7967,2479,748,95923,19259,8464
2020-04-01,Spain,8195,3388,923,104118,22647,9387
2020-04-02,Spain,7947,4096,961,112065,26743,10348
2020-04-03,Spain,7134,3770,850,119199,30513,11198
2020-04-04,Spain,6969,3706,749,126168,34219,11947
2020-04-05,Spain,5478,3861,694,131646,38080,12641
2020-04-06,Spain,5029,2357,700,136675,40437,13341
2020-04-07,Spain,5267,2771,704,141942,43208,14045
2020-04-08,Spain,6278,4813,747,148220,48021,14792
2020-04-09,Spain,5002,4144,655,153222,52165,15447
2020-04-10,Spain,5051,3503,634,158273,55668,16081
2020-04-11,Spain,4754,3441,525,163027,59109,16606
2020-04-12,Spain,3804,3282,603,166831,62391,17209
2020-04-13,Spain,3268,2336,547,170099,64727,17756
2020-04-14,Spain,2442,2777,300,172541,67504,18056
2020-04-15,Spain,5103,3349,652,177644,70853,18708
2020-04-16,Spain,7304,3944,607,184948,74797,19315
2020-04-17,Spain,5891,0,687,190839,74797,20002
2020-04-18,Spain,887,0,41,191726,74797,20043
2020-04-19,Spain,6948,2560,410,198674,77357,20453
2020-04-20,Spain,1536,3230,399,200210,80587,20852
2020-04-21,Spain,3968,1927,430,204178,82514,21282
2020-04-22,Spain,4211,3401,435,208389,85915,21717
2020-04-23,Spain,4635,3335,440,213024,89250,22157
2020-04-24,Spain,-10034,3105,367,202990,92355,22524
2020-04-25,Spain,2915,3353,378,205905,95708,22902
2020-04-26,Spain,1729,2664,288,207634,98372,23190
2020-04-27,Spain,1831,2503,331,209465,100875,23521
2020-04-28,Spain,1308,1673,301,210773,102548,23822
2020-04-29,Spain,2144,6399,453,212917,108947,24275
2020-04-30,Spain,518,3103,268,213435,112050,24543
2020-05-01,Spain,1781,0,0,215216,112050,24543
2020-05-02,Spain,1366,5198,557,216582,117248,25100
2020-05-03,Spain,884,1654,164,217466,118902,25264
2020-05-04,Spain,545,2441,164,218011,121343,25428
2020-05-05,Spain,1318,2143,185,219329,123486,25613
2020-05-06,Spain,996,2516,244,220325,126002,25857
2020-05-07,Spain,1122,2509,213,221447,128511,26070
2020-05-08,Spain,1410,2637,229,222857,131148,26299
2020-05-09,Spain,721,2804,179,223578,133952,26478
2020-05-10,Spain,772,2214,143,224350,136166,26621
2020-05-11,Spain,3086,973,123,227436,137139,26744
2020-05-12,Spain,594,1841,176,228030,138980,26920
2020-05-13,Spain,661,1843,184,228691,140823,27104
2020-05-14,Spain,849,2551,217,229540,143374,27321
2020-05-15,Spain,643,1409,138,230183,144783,27459
2020-05-16,Spain,515,1663,104,230698,146446,27563
2020-05-17,Spain,0,0,0,230698,146446,27563
2020-05-18,Spain,908,3930,146,231606,150376,27709
2020-05-19,Spain,431,0,69,232037,150376,27778
2020-05-20,Spain,518,0,110,232555,150376,27888
2020-05-21,Spain,482,0,52,233037,150376,27940
2020-05-22,Spain,1787,0,688,234824,150376,28628
2020-05-23,Spain,466,0,50,235290,150376,28678
2020-05-24,Spain,482,0,74,235772,150376,28752
2020-05-25,Spain,-372,0,-1918,235400,150376,26834
2020-05-26,Spain,859,0,283,236259,150376,27117
2020-05-27,Spain,0,0,0,236259,150376,27117
2020-05-28,Spain,1647,0,2,237906,150376,27119
2020-05-29,Spain,658,0,2,238564,150376,27121
2020-05-30,Spain,664,0,4,239228,150376,27125
2020-05-31,Spain,251,0,2,239479,150376,27127
2020-06-01,Spain,159,0,0,239638,150376,27127
2020-06-02,Spain,294,0,0,239932,150376,27127
2020-06-03,Spain,394,0,1,240326,150376,27128
2020-06-04,Spain,334,0,5,240660,150376,27133
2020-06-05,Spain,318,0,1,240978,150376,27134
2020-06-06,Spain,332,0,1,241310,150376,27135
2020-06-07,Spain,240,0,1,241550,150376,27136
2020-06-08,Spain,167,0,0,241717,150376,27136
2020-06-09,Spain,249,0,0,241966,150376,27136
2020-06-10,Spain,314,0,0,242280,150376,27136
2020-06-11,Spain,427,0,0,242707,150376,27136
2020-06-12,Spain,502,0,0,243209,150376,27136
2020-06-13,Spain,396,0,0,243605,150376,27136
2020-06-14,Spain,323,0,0,243928,150376,27136
2020-06-15,Spain,181,0,0,244109,150376,27136
2020-06-16,Spain,219,0,0,244328,150376,27136
2020-06-17,Spain,355,0,0,244683,150376,27136
2020-06-18,Spain,585,0,0,245268,150376,27136
2020-06-19,Spain,307,0,1179,245575,150376,28315
2020-06-20,Spain,363,0,7,245938,150376,28322
2020-06-21,Spain,334,0,1,246272,150376,28323
2020-06-22,Spain,232,0,1,246504,150376,28324
2020-06-23,Spain,248,0,1,246752,150376,28325
2020-06-24,Spain,334,0,2,247086,150376,28327
2020-06-25,Spain,400,0,3,247486,150376,28330
2020-06-26,Spain,419,0,8,247905,150376,28338
2020-06-27,Spain,564,0,3,248469,150376,28341
2020-06-28,Spain,301,0,2,248770,150376,28343
2020-06-29,Spain,200,0,3,248970,150376,28346
2020-06-30,Spain,301,0,9,249271,150376,28355
2020-07-01,Spain,388,0,9,249659,150376,28364
2020-07-02,Spain,444,0,4,250103,150376,28368
2020-07-03,Spain,442,0,17,250545,150376,28385
2020-07-04,Spain,0,0,0,250545,150376,28385
2020-07-05,Spain,0,0,0,250545,150376,28385
2020-07-06,Spain,1244,0,3,251789,150376,28388
2020-07-07,Spain,341,0,4,252130,150376,28392
2020-07-08,Spain,383,0,4,252513,150376,28396
2020-07-09,Spain,543,0,5,253056,150376,28401
2020-07-10,Spain,852,0,2,253908,150376,28403
2020-07-11,Spain,0,0,0,253908,150376,28403
2020-07-12,Spain,0,0,0,253908,150376,28403
2020-07-13,Spain,2045,0,3,255953,150376,28406
2020-07-14,Spain,666,0,3,256619,150376,28409
2020-07-15,Spain,875,0,4,257494,150376,28413
2020-07-16,Spain,1361,0,3,258855,150376,28416
2020-07-17,Spain,1400,0,4,260255,150376,28420
2020-07-18,Spain,0,0,0,260255,150376,28420
2020-07-19,Spain,0,0,0,260255,150376,28420
2020-07-20,Spain,4581,0,2,264836,150376,28422
2020-07-21,Spain,1358,0,2,266194,150376,28424
2020-07-22,Spain,1357,0,2,267551,150376,28426
2020-07-23,Spain,2615,0,3,270166,150376,28429
2020-07-24,Spain,2255,0,3,272421,150376,28432
2020-07-25,Spain,0,0,0,272421,150376,28432
2020-07-26,Spain,0,0,0,272421,150376,28432
2020-07-27,Spain,6361,0,2,278782,150376,28434
2020-07-28,Spain,1828,0,2,280610,150376,28436
2020-07-29,Spain,2031,0,5,282641,150376,28441
2020-07-30,Spain,2789,0,2,285430,150376,28443
2020-07-31,Spain,3092,0,2,288522,150376,28445
2020-08-01,Spain,0,0,0,288522,150376,28445
2020-08-02,Spain,0,0,0,288522,150376,28445
2020-08-03,Spain,8532,0,27,297054,150376,28472
2020-08-04,Spain,5760,0,26,302814,150376,28498
2020-08-05,Spain,2953,0,1,305767,150376,28499
2020-08-06,Spain,4088,0,1,309855,150376,28500
2020-08-07,Spain,4507,0,3,314362,150376,28503
2020-08-08,Spain,0,0,0,314362,150376,28503
2020-08-09,Spain,0,0,0,314362,150376,28503
2020-08-10,Spain,8618,0,73,322980,150376,28576
2020-08-11,Spain,3632,0,5,326612,150376,28581
