Date,Country,Confirmed,Recovered,Deceased,Total_Confirmed,Total_Recovered,Total_Deceased
2020-01-23,United Arab Emirates,0,0,0,0,0,0
2020-01-24,United Arab Emirates,0,0,0,0,0,0
2020-01-25,United Arab Emirates,0,0,0,0,0,0
2020-01-26,United Arab Emirates,0,0,0,0,0,0
2020-01-27,United Arab Emirates,0,0,0,0,0,0
2020-01-28,United Arab Emirates,0,0,0,0,0,0
2020-01-29,United Arab Emirates,4,0,0,4,0,0
2020-01-30,United Arab Emirates,0,0,0,4,0,0
2020-01-31,United Arab Emirates,0,0,0,4,0,0
2020-02-01,United Arab Emirates,0,0,0,4,0,0
2020-02-02,United Arab Emirates,1,0,0,5,0,0
2020-02-03,United Arab Emirates,0,0,0,5,0,0
2020-02-04,United Arab Emirates,0,0,0,5,0,0
2020-02-05,United Arab Emirates,0,0,0,5,0,0
2020-02-06,United Arab Emirates,0,0,0,5,0,0
2020-02-07,United Arab Emirates,0,0,0,5,0,0
2020-02-08,United Arab Emirates,2,0,0,7,0,0
2020-02-09,United Arab Emirates,0,0,0,7,0,0
2020-02-10,United Arab Emirates,1,0,0,8,0,0
2020-02-11,United Arab Emirates,0,0,0,8,0,0
2020-02-12,United Arab Emirates,0,1,0,8,1,0
2020-02-13,United Arab Emirates,0,0,0,8,1,0
2020-02-14,United Arab Emirates,0,0,0,8,1,0
2020-02-15,United Arab Emirates,0,2,0,8,3,0
2020-02-16,United Arab Emirates,1,1,0,9,4,0
2020-02-17,United Arab Emirates,0,0,0,9,4,0
2020-02-18,United Arab Emirates,0,0,0,9,4,0
2020-02-19,United Arab Emirates,0,0,0,9,4,0
2020-02-20,United Arab Emirates,0,0,0,9,4,0
2020-02-21,United Arab Emirates,0,0,0,9,4,0
2020-02-22,United Arab Emirates,4,0,0,13,4,0
2020-02-23,United Arab Emirates,0,0,0,13,4,0
2020-02-24,United Arab Emirates,0,0,0,13,4,0
2020-02-25,United Arab Emirates,0,0,0,13,4,0
2020-02-26,United Arab Emirates,0,0,0,13,4,0
2020-02-27,United Arab Emirates,0,0,0,13,4,0
2020-02-28,United Arab Emirates,6,1,0,19,5,0
2020-02-29,United Arab Emirates,2,0,0,21,5,0
2020-03-01,United Arab Emirates,0,0,0,21,5,0
2020-03-02,United Arab Emirates,0,0,0,21,5,0
2020-03-03,United Arab Emirates,6,0,0,27,5,0
2020-03-04,United Arab Emirates,0,0,0,27,5,0
2020-03-05,United Arab Emirates,2,0,0,29,5,0
2020-03-06,United Arab Emirates,0,0,0,29,5,0
2020-03-07,United Arab Emirates,16,2,0,45,7,0
2020-03-08,United Arab Emirates,0,0,0,45,7,0
2020-03-09,United Arab Emirates,0,0,0,45,7,0
2020-03-10,United Arab Emirates,29,5,0,74,12,0
2020-03-11,United Arab Emirates,0,5,0,74,17,0
2020-03-12,United Arab Emirates,11,0,0,85,17,0
2020-03-13,United Arab Emirates,0,0,0,85,17,0
2020-03-14,United Arab Emirates,0,0,0,85,17,0
2020-03-15,United Arab Emirates,13,6,0,98,23,0
2020-03-16,United Arab Emirates,0,0,0,98,23,0
2020-03-17,United Arab Emirates,0,0,0,98,23,0
2020-03-18,United Arab Emirates,15,3,0,113,26,0
2020-03-19,United Arab Emirates,27,5,0,140,31,0
2020-03-20,United Arab Emirates,0,0,2,140,31,2
2020-03-21,United Arab Emirates,13,7,0,153,38,2
2020-03-22,United Arab Emirates,0,0,0,153,38,2
2020-03-23,United Arab Emirates,45,0,0,198,38,2
2020-03-24,United Arab Emirates,50,7,0,248,45,2
2020-03-25,United Arab Emirates,85,7,0,333,52,2
2020-03-26,United Arab Emirates,0,0,0,333,52,2
2020-03-27,United Arab Emirates,72,0,0,405,52,2
2020-03-28,United Arab Emirates,63,0,0,468,52,2
2020-03-29,United Arab Emirates,102,6,1,570,58,3
2020-03-30,United Arab Emirates,41,3,2,611,61,5
2020-03-31,United Arab Emirates,53,0,1,664,61,6
2020-04-01,United Arab Emirates,150,0,2,814,61,8
2020-04-02,United Arab Emirates,210,35,0,1024,96,8
2020-04-03,United Arab Emirates,240,12,1,1264,108,9
2020-04-04,United Arab Emirates,241,17,1,1505,125,10
2020-04-05,United Arab Emirates,294,19,0,1799,144,10
2020-04-06,United Arab Emirates,277,23,1,2076,167,11
2020-04-07,United Arab Emirates,283,19,1,2359,186,12
2020-04-08,United Arab Emirates,300,53,0,2659,239,12
2020-04-09,United Arab Emirates,331,29,2,2990,268,14
2020-04-10,United Arab Emirates,370,150,2,3360,418,16
2020-04-11,United Arab Emirates,376,170,4,3736,588,20
2020-04-12,United Arab Emirates,387,92,2,4123,680,22
2020-04-13,United Arab Emirates,398,172,3,4521,852,25
2020-04-14,United Arab Emirates,412,81,3,4933,933,28
2020-04-15,United Arab Emirates,432,101,5,5365,1034,33
2020-04-16,United Arab Emirates,460,61,2,5825,1095,35
2020-04-17,United Arab Emirates,477,93,2,6302,1188,37
2020-04-18,United Arab Emirates,0,0,0,6302,1188,37
2020-04-19,United Arab Emirates,479,98,4,6781,1286,41
2020-04-20,United Arab Emirates,484,74,2,7265,1360,43
2020-04-21,United Arab Emirates,490,83,3,7755,1443,46
2020-04-22,United Arab Emirates,483,103,6,8238,1546,52
2020-04-23,United Arab Emirates,518,91,4,8756,1637,56
2020-04-24,United Arab Emirates,525,123,8,9281,1760,64
2020-04-25,United Arab Emirates,532,127,7,9813,1887,71
2020-04-26,United Arab Emirates,536,91,5,10349,1978,76
2020-04-27,United Arab Emirates,490,112,6,10839,2090,82
2020-04-28,United Arab Emirates,541,91,7,11380,2181,89
2020-04-29,United Arab Emirates,549,148,9,11929,2329,98
2020-04-30,United Arab Emirates,552,100,7,12481,2429,105
2020-05-01,United Arab Emirates,557,114,6,13038,2543,111
2020-05-02,United Arab Emirates,561,121,8,13599,2664,119
2020-05-03,United Arab Emirates,564,99,7,14163,2763,126
2020-05-04,United Arab Emirates,567,203,11,14730,2966,137
2020-05-05,United Arab Emirates,462,187,9,15192,3153,146
2020-05-06,United Arab Emirates,546,206,11,15738,3359,157
2020-05-07,United Arab Emirates,502,213,8,16240,3572,165
2020-05-08,United Arab Emirates,553,265,9,16793,3837,174
2020-05-09,United Arab Emirates,624,458,11,17417,4295,185
2020-05-10,United Arab Emirates,781,509,13,18198,4804,198
2020-05-11,United Arab Emirates,680,577,3,18878,5381,201
2020-05-12,United Arab Emirates,783,631,2,19661,6012,203
2020-05-13,United Arab Emirates,725,511,3,20386,6523,206
2020-05-14,United Arab Emirates,698,407,2,21084,6930,208
2020-05-15,United Arab Emirates,747,398,2,21831,7328,210
2020-05-16,United Arab Emirates,796,603,4,22627,7931,214
2020-05-17,United Arab Emirates,731,581,6,23358,8512,220
2020-05-18,United Arab Emirates,832,1065,4,24190,9577,224
2020-05-19,United Arab Emirates,873,1214,3,25063,10791,227
2020-05-20,United Arab Emirates,941,1018,6,26004,11809,233
2020-05-21,United Arab Emirates,894,946,4,26898,12755,237
2020-05-22,United Arab Emirates,994,1043,4,27892,13798,241
2020-05-23,United Arab Emirates,812,697,3,28704,14495,244
2020-05-24,United Arab Emirates,781,561,1,29485,15056,245
2020-05-25,United Arab Emirates,822,601,3,30307,15657,248
2020-05-26,United Arab Emirates,779,325,5,31086,15982,253
2020-05-27,United Arab Emirates,883,389,2,31969,16371,255
2020-05-28,United Arab Emirates,563,314,3,32532,16685,258
2020-05-29,United Arab Emirates,638,412,2,33170,17097,260
2020-05-30,United Arab Emirates,726,449,2,33896,17546,262
2020-05-31,United Arab Emirates,661,386,2,34557,17932,264
2020-06-01,United Arab Emirates,635,406,2,35192,18338,266
2020-06-02,United Arab Emirates,596,388,3,35788,18726,269
2020-06-03,United Arab Emirates,571,427,1,36359,19153,270
2020-06-04,United Arab Emirates,659,419,3,37018,19572,273
2020-06-05,United Arab Emirates,624,765,1,37642,20337,274
2020-06-06,United Arab Emirates,626,724,1,38268,21061,275
2020-06-07,United Arab Emirates,540,745,1,38808,21806,276
2020-06-08,United Arab Emirates,568,469,5,39376,22275,281
2020-06-09,United Arab Emirates,528,465,2,39904,22740,283
2020-06-10,United Arab Emirates,603,1277,1,40507,24017,284
2020-06-11,United Arab Emirates,479,1217,2,40986,25234,286
2020-06-12,United Arab Emirates,513,712,1,41499,25946,287
2020-06-13,United Arab Emirates,491,815,1,41990,26761,288
2020-06-14,United Arab Emirates,304,701,1,42294,27462,289
2020-06-15,United Arab Emirates,342,667,2,42636,28129,291
2020-06-16,United Arab Emirates,346,732,2,42982,28861,293
2020-06-17,United Arab Emirates,382,676,2,43364,29537,295
2020-06-18,United Arab Emirates,388,704,3,43752,30241,298
2020-06-19,United Arab Emirates,393,755,2,44145,30996,300
2020-06-20,United Arab Emirates,388,758,1,44533,31754,301
2020-06-21,United Arab Emirates,392,661,1,44925,32415,302
2020-06-22,United Arab Emirates,378,631,1,45303,33046,303
2020-06-23,United Arab Emirates,380,657,2,45683,33703,305
2020-06-24,United Arab Emirates,450,702,2,46133,34405,307
2020-06-25,United Arab Emirates,430,760,1,46563,35165,308
2020-06-26,United Arab Emirates,410,304,2,46973,35469,310
2020-06-27,United Arab Emirates,387,365,1,47360,35834,311
2020-06-28,United Arab Emirates,437,577,2,47797,36411,313
2020-06-29,United Arab Emirates,449,665,1,48246,37076,314
2020-06-30,United Arab Emirates,421,490,1,48667,37566,315
2020-07-01,United Arab Emirates,402,594,1,49069,38160,316
2020-07-02,United Arab Emirates,400,504,1,49469,38664,317
2020-07-03,United Arab Emirates,672,489,1,50141,39153,318
2020-07-04,United Arab Emirates,716,704,3,50857,39857,321
2020-07-05,United Arab Emirates,683,440,2,51540,40297,323
2020-07-06,United Arab Emirates,528,424,1,52068,40721,324
2020-07-07,United Arab Emirates,532,993,2,52600,41714,326
2020-07-08,United Arab Emirates,445,568,1,53045,42282,327
2020-07-09,United Arab Emirates,532,1288,1,53577,43570,328
2020-07-10,United Arab Emirates,473,399,2,54050,43969,330
2020-07-11,United Arab Emirates,403,679,1,54453,44648,331
2020-07-12,United Arab Emirates,401,492,2,54854,45140,333
2020-07-13,United Arab Emirates,344,373,1,55198,45513,334
2020-07-14,United Arab Emirates,375,512,1,55573,46025,335
2020-07-15,United Arab Emirates,275,393,0,55848,46418,335
2020-07-16,United Arab Emirates,281,994,0,56129,47412,335
2020-07-17,United Arab Emirates,293,1036,2,56422,48448,337
2020-07-18,United Arab Emirates,289,469,1,56711,48917,338
2020-07-19,United Arab Emirates,211,352,1,56922,49269,339
2020-07-20,United Arab Emirates,271,352,1,57193,49621,340
2020-07-21,United Arab Emirates,305,343,1,57498,49964,341
2020-07-22,United Arab Emirates,236,390,1,57734,50354,342
2020-07-23,United Arab Emirates,254,494,0,57988,50848,342
2020-07-24,United Arab Emirates,261,387,1,58249,51235,343
2020-07-25,United Arab Emirates,313,393,0,58562,51628,343
2020-07-26,United Arab Emirates,351,554,1,58913,52182,344
2020-07-27,United Arab Emirates,264,328,1,59177,52510,345
2020-07-28,United Arab Emirates,369,395,2,59546,52905,347
2020-07-29,United Arab Emirates,375,297,0,59921,53202,347
2020-07-30,United Arab Emirates,302,424,2,60223,53626,349
2020-07-31,United Arab Emirates,283,283,2,60506,53909,351
2020-08-01,United Arab Emirates,254,346,0,60760,54255,351
2020-08-02,United Arab Emirates,239,360,0,60999,54615,351
2020-08-03,United Arab Emirates,164,248,0,61163,54863,351
2020-08-04,United Arab Emirates,189,227,0,61352,55090,351
2020-08-05,United Arab Emirates,254,295,2,61606,55385,353
2020-08-06,United Arab Emirates,239,354,1,61845,55739,354
2020-08-07,United Arab Emirates,216,276,2,62061,56015,356
2020-08-08,United Arab Emirates,239,230,0,62300,56245,356
2020-08-09,United Arab Emirates,225,323,1,62525,56568,357
2020-08-10,United Arab Emirates,179,198,0,62704,56766,357
2020-08-11,United Arab Emirates,262,195,1,62966,56961,358
